STUSAB,SUMLEV,COUNTY,COUSUB,PLACE,GEOID2,CHGOCA,TRACT,NAME
IL,080,031,14000,14000,28838000,28,838000,CA 28 Tract 838000
IL,080,031,14000,14000,28838100,28,838100,CA 28 Tract 838100
IL,080,031,14000,14000,28838200,28,838200,CA 28 Tract 838200
IL,080,031,14000,14000,28841900,28,841900,CA 28 Tract 841900
IL,080,031,14000,14000,28842900,28,842900,CA 28 Tract 842900
IL,080,031,14000,14000,29290900,29,290900,CA 29 Tract 290900
IL,080,031,14000,14000,29291200,29,291200,CA 29 Tract 291200
IL,080,031,14000,14000,29291600,29,291600,CA 29 Tract 291600
IL,080,031,14000,14000,29292200,29,292200,CA 29 Tract 292200
IL,080,031,14000,14000,29292400,29,292400,CA 29 Tract 292400
IL,080,031,14000,14000,29292500,29,292500,CA 29 Tract 292500
IL,080,031,14000,14000,29838600,29,838600,CA 29 Tract 838600
IL,080,031,14000,14000,29838700,29,838700,CA 29 Tract 838700
