area_id,area_name,b17001f001,b17001f001_moe,b17001f002,b17001f002_moe,b17001f003,b17001f003_moe,b17001f004,b17001f004_moe,b17001f005,b17001f005_moe,b17001f006,b17001f006_moe,b17001f007,b17001f007_moe,b17001f008,b17001f008_moe,b17001f009,b17001f009_moe,b17001f010,b17001f010_moe,b17001f011,b17001f011_moe,b17001f012,b17001f012_moe,b17001f013,b17001f013_moe,b17001f014,b17001f014_moe,b17001f015,b17001f015_moe,b17001f016,b17001f016_moe,b17001f017,b17001f017_moe,b17001f018,b17001f018_moe,b17001f019,b17001f019_moe,b17001f020,b17001f020_moe,b17001f021,b17001f021_moe,b17001f022,b17001f022_moe,b17001f023,b17001f023_moe,b17001f024,b17001f024_moe,b17001f025,b17001f025_moe,b17001f026,b17001f026_moe,b17001f027,b17001f027_moe,b17001f028,b17001f028_moe,b17001f029,b17001f029_moe,b17001f030,b17001f030_moe,b17001f031,b17001f031_moe,b17001f032,b17001f032_moe,b17001f033,b17001f033_moe,b17001f034,b17001f034_moe,b17001f035,b17001f035_moe,b17001f036,b17001f036_moe,b17001f037,b17001f037_moe,b17001f038,b17001f038_moe,b17001f039,b17001f039_moe,b17001f040,b17001f040_moe,b17001f041,b17001f041_moe,b17001f042,b17001f042_moe,b17001f043,b17001f043_moe,b17001f044,b17001f044_moe,b17001f045,b17001f045_moe,b17001f046,b17001f046_moe,b17001f047,b17001f047_moe,b17001f048,b17001f048_moe,b17001f049,b17001f049_moe,b17001f050,b17001f050_moe,b17001f051,b17001f051_moe,b17001f052,b17001f052_moe,b17001f053,b17001f053_moe,b17001f054,b17001f054_moe,b17001f055,b17001f055_moe,b17001f056,b17001f056_moe,b17001f057,b17001f057_moe,b17001f058,b17001f058_moe,b17001f059,b17001f059_moe
3.2,Georgetown,58,79,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,58,79,42,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,34,0,12,18,24,0,12,0,12,0,12,16,21,0,12,0,12,0,12,0,12,0,12,0,12,16,21,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,58,94,12,30,12,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,46,67,46,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,33,0,12,13,30,12,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,82,89,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,82,89,43,41,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,27,16,33,0,24,14,29,0,24,39,63,14,28,0,24,13,26,0,24,0,24,0,24,0,24,12,25,0,24,0,24,0,24,0,24,0,24
3.5,Beacon Hill,254,320,92,119,30,70,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,70,0,17,0,17,0,17,0,17,0,17,62,98,0,17,0,17,38,67,0,17,0,17,0,17,0,17,24,38,0,17,0,17,0,17,0,17,0,17,162,288,90,154,19,31,0,17,5,22,0,17,0,17,0,17,12,24,28,49,7,27,12,22,0,17,7,28,0,17,72,135,20,34,0,17,12,43,0,17,0,17,0,17,7,27,13,25,11,22,0,17,0,17,9,34,0,17
3.6,North Beacon Hill/Jefferson Park,242,231,100,143,86,140,0,24,0,24,0,24,0,24,0,24,0,24,43,71,43,72,0,24,0,24,0,24,0,24,0,24,14,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,30,0,24,0,24,0,24,142,118,107,103,0,24,0,24,0,24,0,24,0,24,0,24,0,24,10,27,77,81,20,39,0,24,0,24,0,24,35,46,13,29,0,24,0,24,0,24,0,24,0,24,0,24,22,43,0,24,0,24,0,24,0,24,0,24
4.1,Rainier Beach,569,540,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,569,540,384,435,0,27,0,27,138,148,48,73,0,27,49,76,50,77,36,62,0,27,49,75,14,31,0,27,0,27,185,176,0,27,0,27,0,27,94,111,0,27,0,27,0,27,0,27,0,27,91,85,0,27,0,27,0,27
4.2,Columbia City,145,117,71,68,40,48,0,27,0,27,0,27,0,27,0,27,0,27,17,33,0,27,0,27,0,27,23,43,0,27,0,27,31,38,0,27,0,27,0,27,0,27,0,27,0,27,0,27,31,38,0,27,0,27,0,27,0,27,0,27,74,93,30,55,14,32,0,27,0,27,0,27,0,27,0,27,0,27,16,33,0,27,0,27,0,27,0,27,0,27,44,59,0,27,0,27,0,27,0,27,0,27,0,27,14,32,0,27,6,30,0,27,17,34,7,33,0,27
4.3,Seward Park,52,51,24,40,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,24,40,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,24,40,0,17,28,36,19,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,11,22,0,17,0,17,0,17,8,18,9,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,20
4.4,Mt. Baker/North Rainier,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,22,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,162,112,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,162,112,77,62,25,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,37,48,15,27,0,21,0,21,0,21,85,67,25,37,0,21,0,21,0,21,0,21,0,21,0,21,12,24,36,45,12,23,0,21,0,21,0,21
