area_id,area_name,b23022001,b23022001_moe,b23022002,b23022002_moe,b23022003,b23022003_moe,b23022004,b23022004_moe,b23022005,b23022005_moe,b23022006,b23022006_moe,b23022007,b23022007_moe,b23022008,b23022008_moe,b23022009,b23022009_moe,b23022010,b23022010_moe,b23022011,b23022011_moe,b23022012,b23022012_moe,b23022013,b23022013_moe,b23022014,b23022014_moe,b23022015,b23022015_moe,b23022016,b23022016_moe,b23022017,b23022017_moe,b23022018,b23022018_moe,b23022019,b23022019_moe,b23022020,b23022020_moe,b23022021,b23022021_moe,b23022022,b23022022_moe,b23022023,b23022023_moe,b23022024,b23022024_moe,b23022025,b23022025_moe,b23022026,b23022026_moe,b23022027,b23022027_moe,b23022028,b23022028_moe,b23022029,b23022029_moe,b23022030,b23022030_moe,b23022031,b23022031_moe,b23022032,b23022032_moe,b23022033,b23022033_moe,b23022034,b23022034_moe,b23022035,b23022035_moe,b23022036,b23022036_moe,b23022037,b23022037_moe,b23022038,b23022038_moe,b23022039,b23022039_moe,b23022040,b23022040_moe,b23022041,b23022041_moe,b23022042,b23022042_moe,b23022043,b23022043_moe,b23022044,b23022044_moe,b23022045,b23022045_moe,b23022046,b23022046_moe,b23022047,b23022047_moe,b23022048,b23022048_moe,b23022049,b23022049_moe
6.2,Capitol Hill,18177,720,9648,612,8823,615,6570,561,5377,561,138,77,395,169,245,116,290,150,125,74,1964,377,1253,325,81,61,235,131,163,87,124,78,108,101,289,183,44,77,0,29,105,148,90,87,12,33,38,49,825,206,8529,577,7691,587,5432,528,4456,490,153,109,163,94,358,182,164,96,138,81,1879,366,1127,284,24,41,222,105,403,233,37,42,66,53,380,186,122,101,15,33,15,35,43,51,48,47,137,143,838,224
6.3,North Capitol Hill,3140,221,1725,195,1514,197,1274,203,954,173,0,12,126,71,80,78,60,56,54,46,222,102,129,77,0,12,80,70,13,21,0,12,0,12,18,27,0,12,0,12,0,12,0,12,0,12,18,27,211,128,1415,150,1245,147,896,161,812,160,0,12,49,39,15,24,0,12,20,32,316,117,188,91,0,12,42,62,42,35,15,24,29,32,33,34,0,12,0,12,2,6,29,33,2,5,0,12,170,76
6.4,Miller Park,5471,283,2969,270,2548,230,2083,206,1775,185,31,28,94,57,48,38,97,74,38,35,384,110,175,83,27,28,99,65,28,26,0,17,55,40,81,57,35,36,0,17,0,17,0,17,11,22,35,33,421,133,2502,244,2127,233,1410,191,1145,171,67,44,71,43,55,53,61,56,11,21,509,123,312,95,0,17,43,29,48,37,43,38,63,54,208,81,19,24,0,17,12,19,40,37,55,38,82,50,375,127
6.5,Madison Park,3218,244,1377,258,1206,245,1049,246,931,243,25,29,47,44,0,17,0,17,46,45,106,57,51,41,0,17,31,29,0,17,13,21,11,17,51,51,0,17,0,17,0,17,12,19,0,17,39,48,171,89,1841,204,1313,224,885,200,755,175,10,16,30,35,69,53,0,17,21,36,378,123,220,93,26,34,11,17,85,53,0,17,36,34,50,47,10,15,0,17,11,26,12,20,0,17,17,20,528,126
7.1,Montlake/Portage Bay,7230,468,3296,332,3054,315,2471,321,1998,253,14,28,110,77,104,77,146,94,99,71,491,168,231,117,14,26,51,41,107,97,55,44,33,34,92,55,36,35,0,21,16,28,17,24,0,21,23,30,242,95,3934,348,3540,350,2506,307,1928,248,126,83,192,110,87,86,115,66,58,58,718,204,339,139,36,34,213,124,35,33,28,31,67,45,316,93,80,66,36,43,13,26,74,49,52,48,61,46,394,121
7.2,University District,18251,1385,9046,971,6906,862,3213,532,1610,343,119,86,267,141,208,122,432,189,577,200,2386,413,798,240,98,97,369,156,174,100,420,141,527,150,1307,378,183,107,3,25,52,50,161,88,187,120,721,286,2140,336,9205,858,7201,740,1929,317,1115,217,0,29,228,113,119,87,159,99,308,133,3540,550,990,283,68,48,309,154,557,182,614,249,1002,270,1732,330,375,145,46,45,216,108,285,137,274,124,536,190,2004,406
7.3,Ravenna/Bryant,18623,797,9282,619,8429,600,6007,390,4557,315,130,67,341,130,255,122,298,140,426,177,1904,392,840,248,135,86,220,120,171,80,224,109,314,129,518,163,92,73,0,32,24,37,81,58,77,65,244,125,853,210,9341,503,7701,450,4651,374,3641,335,142,75,361,114,208,98,130,77,169,77,2102,290,1071,217,73,46,153,64,369,130,227,104,209,89,948,182,278,101,0,32,100,61,150,78,183,84,237,94,1640,350
7.4,Wedgwood/View Ridge,10137,369,5134,287,4443,275,3482,240,2934,222,99,69,217,79,113,74,57,38,62,44,775,199,333,135,52,50,33,38,133,86,113,68,111,58,186,77,36,33,0,27,14,32,0,27,56,43,80,55,691,162,5003,304,3938,285,2521,271,2061,239,44,39,213,77,73,46,58,43,72,55,1015,176,484,132,43,36,110,57,216,89,81,60,81,49,402,124,69,55,0,27,62,49,30,37,63,47,178,76,1065,195
7.5,Laurelhurst/Sand Point,7141,395,3334,280,2799,233,2354,247,2083,221,20,24,61,45,26,24,67,56,97,86,355,144,114,72,13,23,98,76,14,26,21,24,95,78,90,56,18,21,0,21,0,21,21,38,0,21,51,40,535,187,3807,299,2933,292,1914,274,1570,229,31,43,120,75,71,46,74,55,48,40,740,210,255,113,54,48,68,49,193,88,105,72,65,45,279,101,36,43,14,26,62,47,38,36,43,41,86,58,874,182
8.1,Northgate/Maple Leaf,9803,511,5251,430,4424,411,3397,334,2731,301,110,59,218,114,188,121,103,72,47,39,879,213,444,167,21,37,66,64,215,103,56,38,77,49,148,89,9,25,0,24,8,25,12,28,37,39,82,77,827,225,4552,280,3677,296,2471,267,1852,237,42,32,251,127,179,96,101,59,46,48,875,215,588,190,20,31,76,49,20,32,19,35,152,110,331,112,74,46,23,32,60,53,79,70,38,31,57,40,875,201
