area_id,area_name,b16009001,b16009001_moe,b16009002,b16009002_moe,b16009003,b16009003_moe,b16009004,b16009004_moe,b16009005,b16009005_moe,b16009006,b16009006_moe,b16009007,b16009007_moe,b16009008,b16009008_moe,b16009009,b16009009_moe,b16009010,b16009010_moe,b16009011,b16009011_moe,b16009012,b16009012_moe,b16009013,b16009013_moe,b16009014,b16009014_moe,b16009015,b16009015_moe,b16009016,b16009016_moe,b16009017,b16009017_moe,b16009018,b16009018_moe,b16009019,b16009019_moe,b16009020,b16009020_moe,b16009021,b16009021_moe,b16009022,b16009022_moe,b16009023,b16009023_moe,b16009024,b16009024_moe,b16009025,b16009025_moe,b16009026,b16009026_moe,b16009027,b16009027_moe
27,East Garfield Park,19029,1201,8300,1015,2829,553,2775,550,54,71,0,38,0,38,0,38,5471,635,5279,623,107,101,57,57,19,44,9,40,10729,1027,2606,519,2498,507,68,73,0,38,0,38,40,49,8123,718,7744,698,175,91,59,54,38,48,107,78
28,Near West Side,48682,1485,12228,1113,2133,509,2009,497,124,121,0,52,0,52,0,52,10095,863,7864,720,560,246,509,190,1091,379,71,90,36454,1263,2913,427,2472,418,275,115,43,59,123,71,0,52,33541,1103,25695,1086,2155,356,2992,442,2368,410,331,174
29,North Lawndale,32524,1659,14386,1270,5341,732,5201,726,132,101,0,43,0,43,8,43,9045,763,8737,749,292,127,2,41,6,43,8,43,18138,1329,3906,571,3708,559,180,133,18,51,0,43,0,43,14232,1004,13248,960,927,308,52,55,5,42,0,43
30,South Lawndale,55917,2012,17617,1619,5876,825,551,257,5325,768,0,48,0,48,0,48,11741,1063,1259,295,10450,1029,16,49,12,47,4,47,38300,1989,7474,806,688,254,6786,782,0,48,0,48,0,48,30826,1529,3348,523,27383,1513,76,79,19,54,0,48
31,Lower West Side,33630,1543,8762,1023,2335,461,360,176,1948,419,0,42,0,42,27,51,6427,699,1976,402,4227,569,98,93,46,59,80,104,24868,1447,3937,532,531,166,3387,507,19,48,0,42,0,42,20931,1183,5137,545,15390,1150,256,100,120,112,28,50
32,Loop,22506,1118,3381,675,29,41,29,41,0,30,0,30,0,30,0,30,3352,675,2296,551,263,195,347,250,432,253,14,36,19125,1046,447,208,247,169,99,115,46,60,44,57,11,33,18678,992,14435,1005,647,259,1698,413,1623,385,275,171
33,Near South Side,18743,1003,2328,606,198,169,198,169,0,24,0,24,0,24,0,24,2130,542,1721,505,81,62,69,107,259,176,0,24,16415,1102,1025,249,730,222,54,61,69,73,159,118,13,30,15390,1021,10790,792,1076,439,1815,496,1570,427,139,101
34,Armour Square,13167,800,4921,667,657,239,226,145,86,131,0,27,337,143,8,28,4264,565,1154,315,182,184,30,41,2792,494,106,92,8246,899,1159,325,353,151,36,45,0,27,770,287,0,27,7087,692,2246,370,361,216,131,89,4327,626,22,31
35,Douglas,15610,725,4923,635,861,244,823,237,0,35,38,68,0,35,0,35,4062,533,2784,329,32,39,382,175,667,304,197,162,10687,679,1190,233,1131,235,21,48,25,46,13,35,0,35,9497,575,7828,544,384,185,404,190,643,193,238,156
36,Oakland,5725,456,2276,481,531,203,515,202,8,20,8,22,0,19,0,19,1745,349,1638,328,0,19,8,22,0,19,99,110,3449,501,789,254,771,254,18,29,0,19,0,19,0,19,2660,347,2355,340,137,83,49,42,37,59,82,72
37,Fuller Park,2717,483,1140,373,290,218,256,213,0,16,0,16,0,16,34,54,850,199,803,199,0,16,3,13,11,19,33,53,1577,428,344,156,327,154,17,20,0,16,0,16,0,16,1233,315,1163,306,70,83,0,16,0,16,0,16
