area_id,area_name,c18131001,c18131001_moe,c18131002,c18131002_moe,c18131003,c18131003_moe,c18131004,c18131004_moe,c18131005,c18131005_moe,c18131006,c18131006_moe,c18131007,c18131007_moe,c18131008,c18131008_moe,c18131009,c18131009_moe,c18131010,c18131010_moe,c18131011,c18131011_moe,c18131012,c18131012_moe,c18131013,c18131013_moe,c18131014,c18131014_moe,c18131015,c18131015_moe,c18131016,c18131016_moe
27,East Garfield Park,20893,1331,5342,923,659,184,4683,850,4157,783,966,214,3191,676,2739,643,381,120,2358,613,2075,599,221,82,1854,580,6580,856,849,197,5731,785
28,Near West Side,51501,1583,8612,1020,1203,265,7409,942,4374,658,1383,256,2991,582,3535,628,697,200,2838,567,2822,487,325,122,2497,453,32158,1285,1204,255,30954,1256
29,North Lawndale,35476,1831,9008,1169,1106,258,7902,1091,7067,953,1559,289,5508,872,5905,1019,1042,247,4863,925,2818,626,435,155,2383,572,10678,1184,1165,223,9513,1135
30,South Lawndale,62083,2251,6618,1100,723,244,5895,1003,13804,1626,1126,258,12678,1565,14195,1713,823,227,13372,1685,9008,1318,967,262,8041,1232,18458,1702,1671,316,16787,1619
31,Lower West Side,36565,1701,3385,700,90,84,3295,691,6598,966,527,172,6071,920,5842,887,448,158,5394,845,6211,1145,663,251,5548,1053,14529,1263,1117,223,13412,1218
32,Loop,23559,1213,2416,565,194,124,2222,552,998,403,52,84,946,395,444,165,109,117,335,122,754,309,151,136,603,269,18947,1177,777,206,18170,1184
33,Near South Side,20058,1152,1711,668,375,223,1336,625,814,277,290,147,524,240,900,376,158,83,742,364,630,283,148,103,482,249,16003,1285,785,280,15218,1320
34,Armour Square,13710,850,2127,472,294,159,1833,437,3020,595,527,145,2493,562,2064,465,252,120,1812,461,1124,416,164,86,960,401,5375,825,326,129,5049,810
35,Douglas,16603,758,3111,522,344,121,2767,494,2250,409,584,145,1666,379,1336,304,313,104,1023,275,1589,383,231,90,1358,370,8317,621,1044,230,7273,601
36,Oakland,6233,462,812,290,96,58,716,281,1718,459,484,192,1234,404,874,307,300,148,574,241,498,183,20,26,478,176,2331,432,158,90,2173,438
37,Fuller Park,2924,543,275,114,112,61,163,94,928,442,349,106,579,391,587,329,98,51,489,330,413,275,30,27,383,271,721,257,120,61,601,242
38,Grand Boulevard,22730,1148,3202,622,415,132,2787,597,3808,672,1021,220,2787,607,2816,615,837,190,1979,527,2105,540,408,147,1697,505,10799,939,1120,220,9679,890
39,Kenwood,17917,908,2660,605,244,99,2416,593,1658,403,508,208,1150,314,2022,466,396,149,1626,406,1277,308,233,88,1044,288,10300,800,951,207,9349,753
