area_id,area_name,b07012001,b07012001_moe,b07012002,b07012002_moe,b07012003,b07012003_moe,b07012004,b07012004_moe,b07012005,b07012005_moe,b07012006,b07012006_moe,b07012007,b07012007_moe,b07012008,b07012008_moe,b07012009,b07012009_moe,b07012010,b07012010_moe,b07012011,b07012011_moe,b07012012,b07012012_moe,b07012013,b07012013_moe,b07012014,b07012014_moe,b07012015,b07012015_moe,b07012016,b07012016_moe,b07012017,b07012017_moe,b07012018,b07012018_moe,b07012019,b07012019_moe,b07012020,b07012020_moe,b07012021,b07012021_moe,b07012022,b07012022_moe,b07012023,b07012023_moe,b07012024,b07012024_moe
47,Burnside,3499,689,1668,820,347,165,1484,363,3019,543,1264,713,347,165,1408,359,412,387,372,400,0,11,40,46,46,56,32,50,0,11,14,24,11,21,0,11,0,11,11,21,11,19,0,11,0,11,11,19
48,Calumet Heights,14244,800,1970,543,1081,386,11193,723,12867,745,1468,414,923,368,10476,690,1166,489,445,321,151,116,570,344,45,67,33,66,7,27,5,26,148,132,24,42,0,27,124,124,18,36,0,27,0,27,18,36
49,Roseland,44158,1638,10303,1148,6190,1167,27665,1602,38445,1446,8553,1082,4855,893,25037,1472,5047,1125,1392,457,1294,794,2361,655,101,97,50,75,0,41,51,74,539,251,303,218,41,63,195,116,26,45,5,40,0,41,21,45
50,Pullman,7121,563,1764,468,544,205,4813,517,6340,521,1414,383,525,199,4401,511,744,324,350,260,11,24,383,215,15,28,0,19,0,19,15,28,13,19,0,19,8,20,5,17,9,21,0,19,0,19,9,21
51,South Deering,16324,1033,5143,994,2578,615,8603,941,13550,1025,3733,840,2337,620,7480,929,2522,719,1190,521,241,260,1091,458,0,25,0,25,0,25,0,25,138,124,117,123,0,25,21,30,114,97,103,96,0,25,11,29
52,East Side,23110,1354,5506,998,3512,931,14092,1074,20986,1389,4656,953,3031,881,13299,1039,1970,622,769,356,464,332,737,357,49,47,19,36,0,29,30,41,96,64,62,57,17,35,17,31,9,28,0,29,0,29,9,28
53,West Pullman,30202,1611,8909,1380,3878,918,17415,1308,25217,1448,6109,1033,3319,744,15789,1233,4352,1079,2706,937,503,362,1143,441,153,132,20,54,31,61,102,118,465,257,74,87,25,45,366,234,15,44,0,39,0,39,15,44
54,Riverdale,6744,711,3913,701,1036,434,1795,448,5509,686,3014,665,738,338,1757,445,1050,440,721,349,291,281,38,41,95,150,95,150,0,16,0,16,90,102,83,100,7,19,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,10034,912,1852,518,1449,804,6733,953,8545,789,1638,446,1016,584,5891,816,1335,801,148,187,433,436,754,698,0,19,0,19,0,19,0,19,139,142,51,84,0,19,88,115,15,25,15,25,0,19,0,19
56,Garfield Ridge,33550,1061,2832,717,2595,644,28123,1217,30810,1132,2068,600,2253,598,26489,1206,2223,589,673,425,297,175,1253,375,146,154,11,42,10,42,125,153,222,131,80,106,0,42,142,103,149,99,0,42,35,61,114,87
57,Archer Heights,13108,750,1821,535,1979,581,9308,837,11839,788,1606,507,1761,557,8472,866,1161,341,215,195,193,185,753,252,25,42,0,27,25,42,0,27,54,64,0,27,0,27,54,64,29,53,0,27,0,27,29,53
58,Brighton Park,43099,1770,10989,1385,9260,1346,22850,1705,37423,1832,8855,1219,7444,1170,21124,1663,5285,1125,2033,690,1640,610,1612,630,128,110,49,53,68,102,11,42,164,115,40,58,72,84,52,56,99,81,12,46,36,57,51,57
59,McKinley Park,16252,917,3227,713,2602,586,10423,912,14650,990,2585,645,2446,565,9619,952,1409,345,542,284,149,104,718,221,115,77,56,65,6,24,53,40,36,30,16,26,1,22,19,29,42,47,28,41,0,25,14,32
60,Bridgeport,32002,1313,6559,923,4133,715,21310,1228,27267,1386,5019,858,3433,686,18815,1240,3515,601,1018,341,445,191,2052,430,332,157,148,98,47,56,137,102,389,179,110,78,120,111,159,108,499,188,264,127,88,108,147,95
61,New City,41055,1783,13370,1480,7946,1108,19739,1370,35283,1761,10444,1370,6818,1052,18021,1330,5237,852,2607,642,1053,421,1577,390,134,112,32,51,64,107,38,53,351,156,237,138,11,47,103,85,50,92,50,92,0,47,0,47
62,West Elsdon,18611,1066,3276,844,2652,927,12683,1005,16523,1064,2861,797,2135,775,11527,934,1745,578,414,297,317,250,1014,456,10,31,0,27,0,27,10,31,180,174,0,27,163,180,17,31,153,111,1,22,37,61,115,97
63,Gage Park,38415,1674,9223,1339,9825,1436,19367,1608,34721,1727,8100,1283,8334,1293,18287,1571,3073,807,1002,431,1231,574,840,394,83,76,41,60,28,58,14,43,181,159,64,152,0,41,117,84,357,244,16,41,232,211,109,117
64,Clearing,22387,946,2006,481,1867,558,18514,995,20267,1000,1522,415,1686,525,17059,1025,1605,484,320,175,44,55,1241,423,221,209,68,82,128,192,25,39,180,173,0,31,0,31,180,173,114,163,96,163,9,32,9,33
65,West Lawn,32415,1231,5614,1103,4832,970,21969,1466,30105,1251,4996,1016,4428,903,20681,1427,1672,550,301,244,249,245,1122,437,29,41,13,37,0,34,16,35,292,388,247,386,10,35,35,51,317,204,57,97,145,158,115,95
66,Chicago Lawn,53415,2124,16539,1960,7840,1304,29036,1987,47488,2119,13332,1849,6835,1236,27321,1962,5747,1065,3083,835,991,459,1673,508,79,114,66,114,0,49,13,51,56,67,42,55,14,51,0,49,45,56,16,51,0,49,29,55
67,West Englewood,34509,1567,13663,1367,6227,925,14619,1191,29021,1523,10551,1262,5394,865,13076,1070,4785,832,2791,631,746,339,1248,449,25,51,23,52,2,47,0,48,663,342,298,259,85,89,280,212,15,52,0,48,0,48,15,52
68,Englewood,28110,1477,13289,1276,3848,733,10973,1090,23468,1373,10125,1124,3310,647,10033,1028,4365,833,2998,708,504,258,863,351,71,71,37,48,34,64,0,36,138,104,104,98,0,36,34,46,68,67,25,50,0,36,43,57
69,Greater Grand Crossing,31915,1481,10758,1222,3886,675,17271,1254,26622,1357,8391,1083,2915,550,15316,1175,4894,771,2286,593,834,323,1774,419,113,133,19,47,11,40,83,128,286,170,62,64,126,136,98,94,0,38,0,38,0,38,0,38
70,Ashburn,41607,1560,5072,997,3347,869,33188,1702,39019,1555,4841,959,3022,824,31156,1629,2370,847,96,81,324,243,1950,826,118,104,73,90,0,41,45,62,44,47,21,49,1,37,22,41,56,59,41,53,0,41,15,44
71,Auburn Gresham,48809,1839,14545,1491,6726,988,27538,1661,42476,1832,11213,1313,5947,953,25316,1622,5786,953,3130,734,735,325,1921,464,95,79,50,67,29,56,16,53,423,169,143,115,10,47,270,124,29,52,9,46,5,45,15,46
72,Beverly,20963,802,913,281,869,336,19181,875,19881,851,783,252,865,336,18233,900,931,306,103,141,0,29,828,308,28,40,0,29,0,29,28,40,113,59,18,33,3,28,92,55,10,28,9,30,1,27,0,29
73,Washington Heights,25340,1105,5030,975,2298,549,18012,1287,23476,1146,4188,877,2060,519,17228,1280,1631,498,729,351,238,206,664,233,81,99,61,98,0,33,20,32,114,83,52,72,0,33,62,50,38,49,0,33,0,33,38,49
74,Mount Greenwood,17766,767,536,269,346,193,16884,776,17023,743,463,269,310,188,16250,754,654,273,49,68,36,46,569,258,55,37,0,25,0,25,55,37,26,30,16,27,0,25,10,28,8,27,8,27,0,25,0,25
75,Morgan Park,21988,1030,3313,629,1880,639,16795,1052,20472,1018,2937,586,1673,595,15862,1045,1300,372,361,194,169,202,770,245,95,83,0,31,0,31,95,83,121,76,15,34,38,48,68,62,0,31,0,31,0,31,0,31
76,O'Hare,13416,1094,2339,1074,1401,488,9676,932,11859,1126,2174,1062,1326,481,8359,927,1075,339,122,129,51,72,902,315,92,89,0,38,0,38,92,89,211,126,42,65,24,54,145,112,179,198,1,35,0,38,178,198
77,Edgewater,52118,1616,9659,1044,5413,858,37046,1531,42918,1704,6689,891,4472,801,31757,1526,6448,794,1868,481,644,266,3936,574,507,196,180,125,111,117,216,119,1418,326,511,194,141,112,766,226,827,382,411,244,45,71,371,294
