area_id,area_name,b08203001,b08203001_moe,b08203002,b08203002_moe,b08203003,b08203003_moe,b08203004,b08203004_moe,b08203005,b08203005_moe,b08203006,b08203006_moe,b08203007,b08203007_moe,b08203008,b08203008_moe,b08203009,b08203009_moe,b08203010,b08203010_moe,b08203011,b08203011_moe,b08203012,b08203012_moe,b08203013,b08203013_moe,b08203014,b08203014_moe,b08203015,b08203015_moe,b08203016,b08203016_moe,b08203017,b08203017_moe,b08203018,b08203018_moe,b08203019,b08203019_moe,b08203020,b08203020_moe,b08203021,b08203021_moe,b08203022,b08203022_moe,b08203023,b08203023_moe,b08203024,b08203024_moe,b08203025,b08203025_moe,b08203026,b08203026_moe,b08203027,b08203027_moe,b08203028,b08203028_moe,b08203029,b08203029_moe,b08203030,b08203030_moe
20,Hermosa,7070,219,1281,234,2798,292,2080,259,536,164,375,140,1283,225,676,180,486,134,111,72,10,32,0,29,2982,314,546,159,1577,242,675,174,80,61,104,87,1745,268,40,53,539,167,834,191,252,115,80,65,1060,196,19,41,196,102,460,137,194,93,191,97
21,Avondale,13801,329,2435,333,6550,478,3659,378,781,187,376,135,2191,294,877,202,1038,210,247,102,8,39,21,44,5662,445,1175,237,3387,383,932,205,120,63,48,57,4703,418,341,139,1781,301,2079,297,369,136,133,79,1245,251,42,58,344,145,401,139,284,121,174,103
22,Logan Square,29492,477,6551,484,14325,586,7041,464,1180,226,395,140,5122,430,2145,283,2297,300,483,140,165,101,32,64,12888,593,3021,356,7656,494,1844,251,276,125,91,75,9687,514,1162,213,4040,381,4047,373,383,125,55,79,1795,274,223,105,332,116,667,172,356,120,217,115
23,Humboldt Park,16778,419,5041,426,7290,481,3637,390,481,135,329,130,5808,454,2884,349,2301,317,570,172,23,51,30,66,6909,476,1800,284,3713,386,1127,227,205,97,64,72,3053,360,304,135,1049,211,1521,268,127,78,52,61,1008,215,53,70,227,95,419,152,126,80,183,106
24,West Town,37287,534,8477,541,18626,686,8611,519,1397,247,176,90,5915,432,3108,358,2228,269,481,152,86,83,12,62,16296,677,3535,361,10312,587,2307,310,124,86,18,62,13184,591,1634,265,5594,444,5243,429,667,179,46,74,1892,258,200,105,492,148,580,144,520,146,100,78
25,Austin,32428,573,10250,613,13294,673,6739,502,1617,265,528,156,11330,637,5878,511,4183,422,939,192,258,109,72,79,13611,675,3559,398,7076,551,2328,316,568,169,80,76,6297,489,708,188,1720,280,3043,364,587,164,239,115,1190,229,105,91,315,123,429,154,204,96,137,102
26,West Garfield Park,5714,265,2475,261,2205,243,823,166,180,91,31,41,2507,257,1542,212,797,155,131,65,37,48,0,35,2314,255,781,171,1177,195,342,104,4,34,10,36,723,161,106,69,191,84,274,102,139,83,13,39,170,81,46,50,40,48,76,59,0,35,8,35
27,East Garfield Park,6896,277,2599,278,2860,288,1250,210,166,73,21,40,2935,271,1726,229,990,176,153,74,49,46,17,40,2741,288,703,152,1574,239,460,134,4,37,0,38,1075,186,165,87,267,103,550,138,89,61,4,37,145,69,5,38,29,43,87,58,24,46,0,38
28,Near West Side,25665,497,7261,471,13473,595,4416,374,423,146,92,84,5720,395,3456,305,2045,278,184,96,31,63,4,51,12639,579,3004,369,8247,536,1225,213,99,89,64,83,6677,472,649,184,2975,332,2829,326,207,111,17,53,629,152,152,95,206,91,178,83,86,63,7,51
29,North Lawndale,10852,381,4931,370,4250,357,1332,215,215,78,124,74,4612,343,2952,303,1546,221,84,60,16,44,14,43,4528,343,1753,251,2134,278,521,121,80,51,40,53,1474,230,217,97,546,145,599,157,68,57,44,58,238,95,9,44,24,48,128,81,51,54,26,49
