area_id,area_name,b14005001,b14005001_moe,b14005002,b14005002_moe,b14005003,b14005003_moe,b14005004,b14005004_moe,b14005005,b14005005_moe,b14005006,b14005006_moe,b14005007,b14005007_moe,b14005008,b14005008_moe,b14005009,b14005009_moe,b14005010,b14005010_moe,b14005011,b14005011_moe,b14005012,b14005012_moe,b14005013,b14005013_moe,b14005014,b14005014_moe,b14005015,b14005015_moe,b14005016,b14005016_moe,b14005017,b14005017_moe,b14005018,b14005018_moe,b14005019,b14005019_moe,b14005020,b14005020_moe,b14005021,b14005021_moe,b14005022,b14005022_moe,b14005023,b14005023_moe,b14005024,b14005024_moe,b14005025,b14005025_moe,b14005026,b14005026_moe,b14005027,b14005027_moe,b14005028,b14005028_moe,b14005029,b14005029_moe
11,Jefferson Park,971,257,485,161,456,156,114,87,45,63,297,117,29,36,20,35,7,31,0,29,13,34,9,31,0,29,0,29,9,31,486,158,441,154,186,115,12,33,243,100,45,47,35,45,7,29,19,42,9,31,10,33,0,29,0,29,10,33
12,Forest Glen,846,170,550,133,459,124,89,58,64,64,306,117,91,83,19,36,0,29,10,33,9,30,72,80,0,29,0,29,72,80,296,97,296,97,130,66,10,31,156,72,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,1297,275,682,196,642,183,259,123,41,38,342,138,40,44,9,27,9,27,0,27,0,27,31,44,31,44,0,27,0,27,615,160,615,160,125,65,21,30,469,142,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
14,Albany Park,3257,461,1514,322,1143,265,133,78,128,84,882,231,371,152,212,124,81,74,60,77,71,87,159,115,77,82,40,67,42,78,1743,322,1444,284,308,129,113,90,1023,221,299,145,80,71,10,46,70,70,0,45,219,133,148,119,14,45,57,75
15,Portage Park,3197,441,1571,304,1384,290,241,114,323,140,820,222,187,111,100,90,24,53,76,87,0,47,87,79,27,60,0,47,60,70,1626,354,1480,332,453,168,263,180,764,221,146,103,75,84,75,84,0,47,0,47,71,74,18,50,17,49,36,70
16,Irving Park,2209,400,1425,318,1076,274,192,124,78,75,806,239,349,158,227,137,168,131,0,47,59,61,122,92,91,79,31,66,0,47,784,211,568,169,89,72,35,55,444,156,216,110,77,71,17,49,36,61,24,57,139,95,65,69,28,65,46,65
17,Dunning,2085,313,1188,222,947,187,153,76,131,86,663,158,241,126,199,123,104,100,20,49,75,73,42,54,33,54,0,40,9,40,897,195,754,174,89,57,173,100,492,139,143,79,69,59,47,56,9,41,13,44,74,61,0,40,33,47,41,56
18,Montclare,550,175,270,114,270,114,58,53,14,28,198,88,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,280,125,239,115,47,44,44,50,148,87,41,50,17,31,0,23,0,23,17,31,24,42,0,23,0,23,24,42
19,Belmont Cragin,5489,610,2837,402,2340,354,359,124,448,173,1533,303,497,169,290,130,160,102,60,62,70,81,207,123,127,106,28,58,52,77,2652,415,2226,368,406,169,274,118,1546,301,426,167,297,145,116,104,93,98,88,83,129,97,0,52,29,68,100,87
20,Hermosa,1657,324,742,219,614,186,124,94,80,75,410,144,128,85,62,67,28,41,0,29,34,60,66,59,36,47,19,40,11,33,915,227,715,189,118,71,104,88,493,148,200,115,172,113,52,56,60,79,60,59,28,38,0,29,0,29,28,38
21,Avondale,1813,365,821,210,656,180,51,59,109,71,496,165,165,100,112,93,34,53,15,42,63,84,53,55,20,48,0,38,33,44,992,286,936,274,222,118,92,77,622,240,56,64,11,41,0,38,0,38,11,41,45,62,0,38,0,38,45,62
22,Logan Square,3001,405,1387,247,946,199,138,92,39,63,769,182,441,153,280,130,119,97,23,59,138,103,161,94,80,81,15,58,66,70,1614,280,1269,239,211,109,26,59,1032,208,345,145,227,127,158,109,0,57,69,87,118,89,54,75,0,57,64,74
23,Humboldt Park,4221,583,2062,394,1579,323,171,122,181,130,1227,286,483,187,234,138,18,55,90,101,126,103,249,124,30,60,43,66,176,110,2159,372,1792,333,35,54,320,137,1437,305,367,147,194,109,78,84,0,51,116,85,173,110,24,59,14,56,135,103
24,West Town,2637,404,1103,225,1039,220,175,88,128,87,736,199,64,73,45,71,4,62,30,70,11,63,19,65,10,64,0,62,9,64,1534,321,1355,293,307,143,179,121,869,233,179,109,85,82,15,66,8,63,62,79,94,95,14,65,50,88,30,68
25,Austin,6640,593,3368,417,2542,360,256,120,430,159,1856,310,826,216,449,181,118,97,45,86,286,152,377,148,32,71,63,76,282,134,3272,389,2711,357,276,117,455,156,1980,316,561,169,320,136,140,98,116,89,64,83,241,120,76,84,83,79,82,78
26,West Garfield Park,1338,278,546,163,411,135,32,48,14,35,365,127,135,87,50,59,21,47,0,35,29,48,85,72,23,47,46,60,16,41,792,193,691,186,69,56,146,88,476,148,101,65,42,48,17,43,11,35,14,41,59,56,0,35,19,44,40,49
