area_id,area_name,b19001a001,b19001a001_moe,b19001a002,b19001a002_moe,b19001a003,b19001a003_moe,b19001a004,b19001a004_moe,b19001a005,b19001a005_moe,b19001a006,b19001a006_moe,b19001a007,b19001a007_moe,b19001a008,b19001a008_moe,b19001a009,b19001a009_moe,b19001a010,b19001a010_moe,b19001a011,b19001a011_moe,b19001a012,b19001a012_moe,b19001a013,b19001a013_moe,b19001a014,b19001a014_moe,b19001a015,b19001a015_moe,b19001a016,b19001a016_moe,b19001a017,b19001a017_moe
52,East Side,5361,288,390,129,346,122,460,139,231,88,345,121,387,138,329,102,251,91,264,107,324,114,750,179,477,133,351,115,248,100,127,77,81,73
53,West Pullman,252,91,33,58,21,43,23,43,18,44,31,46,29,52,7,39,0,39,24,41,7,38,11,42,2,38,18,46,0,39,0,39,28,58
54,Riverdale,49,37,0,16,0,16,0,16,0,16,0,16,0,16,0,16,27,22,0,16,0,16,22,37,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,3084,230,230,139,208,89,140,79,188,98,235,115,246,126,148,100,132,95,100,68,145,87,270,136,480,141,239,106,77,83,194,87,52,68
56,Garfield Ridge,9519,294,313,100,421,148,575,162,388,109,524,132,583,171,245,88,424,119,454,136,777,170,1061,193,1485,223,896,200,547,149,622,160,204,80
57,Archer Heights,2615,202,145,69,92,57,91,53,249,100,288,94,146,65,136,70,122,65,109,52,252,84,368,97,297,95,63,38,138,68,92,54,27,36
58,Brighton Park,7579,404,576,152,506,146,582,143,595,144,707,180,675,180,584,151,505,151,389,138,713,173,704,175,546,141,252,112,197,100,10,43,38,67
59,McKinley Park,2985,244,273,100,127,61,257,114,237,88,139,70,154,71,220,97,194,78,98,61,250,100,357,111,352,118,154,67,84,52,79,56,10,26
60,Bridgeport,6812,352,581,148,449,126,505,136,420,123,407,138,239,100,312,104,236,82,244,94,560,139,889,185,806,167,491,141,231,73,269,98,173,68
61,New City,5645,348,558,142,427,133,308,108,483,142,488,143,499,146,399,122,287,102,216,105,529,145,450,125,513,129,226,86,125,79,107,66,30,54
62,West Elsdon,3332,253,179,80,131,63,145,70,220,82,242,95,351,116,142,68,202,87,168,91,308,112,301,102,536,139,293,102,68,46,25,34,21,28
63,Gage Park,5425,346,359,126,309,109,389,123,456,132,505,150,432,141,296,128,252,93,285,121,505,145,608,167,468,148,362,128,70,51,114,74,15,42
64,Clearing,6949,278,344,134,253,108,542,171,441,147,365,117,268,97,253,97,358,110,302,123,840,212,588,143,1070,204,629,153,343,126,233,128,120,72
65,West Lawn,4098,313,256,110,220,92,148,69,307,123,239,94,270,109,163,77,271,91,102,58,377,124,411,136,611,147,385,136,122,67,161,69,55,45
66,Chicago Lawn,1962,236,138,73,118,70,149,73,69,63,177,95,151,75,129,70,85,58,130,70,176,80,197,85,255,93,116,66,20,48,38,49,14,48
67,West Englewood,134,76,10,49,25,53,0,48,31,58,7,48,0,48,0,48,18,51,0,48,34,57,0,48,9,49,0,48,0,48,0,48,0,48
68,Englewood,58,52,9,37,10,38,15,41,0,36,0,36,0,36,11,39,0,36,0,36,13,40,0,36,0,36,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,68,54,0,38,0,38,0,38,18,40,23,51,0,38,7,38,0,38,0,38,17,41,0,38,0,38,0,38,0,38,0,38,3,37
70,Ashburn,4032,278,166,80,239,99,260,125,254,101,215,94,213,103,177,84,195,89,119,73,244,103,458,121,678,168,439,123,165,80,205,102,5,39
71,Auburn Gresham,68,61,8,46,0,46,0,46,10,47,0,46,0,46,0,46,10,47,0,46,0,46,7,46,0,46,33,56,0,46,0,46,0,46
72,Beverly,4862,186,129,77,58,42,121,54,100,53,120,64,156,78,58,39,130,66,93,53,277,93,534,122,778,141,608,132,515,110,524,115,661,118
73,Washington Heights,66,56,0,33,0,33,0,33,0,33,0,33,0,33,0,33,11,37,0,33,0,33,17,41,38,47,0,33,0,33,0,33,0,33
74,Mount Greenwood,6093,211,134,96,82,50,130,64,207,88,107,63,233,108,145,65,127,77,130,70,248,91,712,157,1253,230,992,191,554,155,806,174,233,92
75,Morgan Park,2683,174,84,52,81,51,66,48,101,74,116,70,67,57,96,84,140,72,81,56,167,75,258,87,345,106,417,114,217,93,282,84,165,74
76,O'Hare,5087,294,438,164,262,162,348,137,315,195,317,148,254,132,291,125,362,163,149,78,429,167,454,154,887,270,239,131,176,115,125,90,41,62
77,Edgewater,19620,653,1745,296,1352,275,764,172,861,198,1131,257,1080,240,1132,250,873,207,591,185,1188,245,2215,344,2410,333,1403,270,1117,230,793,179,965,196
