area_id,area_name,b21001001,b21001001_moe,b21001002,b21001002_moe,b21001003,b21001003_moe,b21001004,b21001004_moe,b21001005,b21001005_moe,b21001006,b21001006_moe,b21001007,b21001007_moe,b21001008,b21001008_moe,b21001009,b21001009_moe,b21001010,b21001010_moe,b21001011,b21001011_moe,b21001012,b21001012_moe,b21001013,b21001013_moe,b21001014,b21001014_moe,b21001015,b21001015_moe,b21001016,b21001016_moe,b21001017,b21001017_moe,b21001018,b21001018_moe,b21001019,b21001019_moe,b21001020,b21001020_moe,b21001021,b21001021_moe,b21001022,b21001022_moe,b21001023,b21001023_moe,b21001024,b21001024_moe,b21001025,b21001025_moe,b21001026,b21001026_moe,b21001027,b21001027_moe,b21001028,b21001028_moe,b21001029,b21001029_moe,b21001030,b21001030_moe,b21001031,b21001031_moe,b21001032,b21001032_moe,b21001033,b21001033_moe,b21001034,b21001034_moe,b21001035,b21001035_moe,b21001036,b21001036_moe,b21001037,b21001037_moe,b21001038,b21001038_moe,b21001039,b21001039_moe
21,Avondale,31898,1368,780,194,31118,1377,16474,959,747,190,15727,964,7669,759,152,81,7517,765,5814,553,251,113,5563,555,1824,303,169,95,1655,287,873,206,122,71,751,193,294,104,53,48,241,95,15424,809,33,46,15391,809,6637,596,10,40,6627,597,4829,457,0,38,4829,457,1893,274,0,38,1893,274,1363,266,10,40,1353,265,702,153,13,42,689,151
22,Logan Square,59222,1482,1556,264,57666,1492,30293,1046,1347,241,28946,1061,14705,922,227,121,14478,922,10962,636,479,153,10483,634,2560,329,299,116,2261,313,1472,256,117,77,1355,249,594,152,225,103,369,126,28929,966,209,128,28720,968,14518,744,126,116,14392,742,8984,538,72,78,8912,534,2751,336,11,59,2740,336,1537,252,0,57,1537,252,1139,212,0,57,1139,212
23,Humboldt Park,37960,1433,1460,275,36500,1411,17512,949,1354,263,16158,925,7112,670,91,77,7021,662,6087,611,546,175,5541,587,2379,354,264,123,2115,326,1291,227,261,121,1030,198,643,188,192,93,451,166,20448,879,106,77,20342,873,8245,647,12,53,8233,647,6951,530,75,73,6876,528,2936,353,14,54,2922,353,1368,211,5,51,1363,212,948,197,0,51,948,197
24,West Town,70952,1568,1438,244,69514,1578,35896,1162,1408,244,34488,1166,18813,1015,279,122,18534,1015,12083,632,385,134,11698,624,2911,362,396,124,2515,347,1146,200,174,79,972,192,943,210,174,105,769,197,35056,1049,30,63,35026,1049,19251,902,20,64,19231,902,10192,555,1,61,10191,555,2537,310,9,62,2528,310,1579,241,0,62,1579,241,1497,231,0,62,1497,231
25,Austin,71740,1867,3752,427,67988,1848,31646,1199,3545,407,28101,1172,10854,822,151,97,10703,819,11636,824,975,236,10661,781,5203,466,1174,231,4029,425,2675,314,686,164,1989,275,1278,208,559,141,719,173,40094,1241,207,109,39887,1239,12977,820,83,79,12894,819,13833,681,77,85,13756,680,6452,496,0,61,6452,496,3798,372,26,62,3772,371,3034,351,21,66,3013,348
26,West Garfield Park,12595,829,622,148,11973,816,5782,535,537,137,5245,514,2196,359,19,38,2177,356,2136,321,252,107,1884,294,775,161,125,74,650,150,462,123,63,54,399,120,213,72,78,46,135,61,6813,488,85,58,6728,491,2524,303,21,47,2503,304,2522,293,54,51,2468,291,769,157,10,36,759,157,550,127,0,35,550,127,448,102,0,35,448,102
27,East Garfield Park,13848,825,631,167,13217,808,5623,581,587,153,5036,551,2286,380,47,69,2239,380,1879,294,189,81,1690,283,729,175,158,83,571,143,505,139,97,59,408,132,224,86,96,61,128,70,8225,479,44,55,8181,480,2964,337,0,38,2964,337,3329,314,22,53,3307,310,892,160,22,41,870,159,415,99,0,38,415,99,625,136,0,38,625,136
28,Near West Side,45623,1336,1642,273,43981,1320,22623,994,1546,260,21077,966,12242,815,338,136,11904,809,6554,540,358,122,6196,515,2127,308,439,118,1688,273,1198,208,249,106,949,189,502,139,162,85,340,118,23000,876,96,93,22904,878,12427,774,14,55,12413,775,6312,460,54,80,6258,455,2396,286,0,52,2396,286,1000,163,0,52,1000,163,865,190,28,67,837,187
29,North Lawndale,23715,1159,1349,243,22366,1118,9859,778,1278,239,8581,713,4142,504,104,93,4038,485,3314,405,398,151,2916,370,1339,245,384,128,955,196,705,157,189,76,516,141,359,104,203,81,156,73,13856,729,71,71,13785,727,5020,472,23,55,4997,468,5112,412,29,57,5083,412,1742,243,0,43,1742,243,973,178,0,43,973,178,1009,182,19,50,990,180
30,South Lawndale,50640,1615,545,153,50095,1616,29880,1209,532,151,29348,1207,15256,947,111,85,15145,946,10320,609,163,94,10157,608,2444,327,66,60,2378,325,1180,221,83,63,1097,215,680,157,109,63,571,146,20760,902,13,51,20747,901,8901,649,0,48,8901,649,7519,526,13,51,7506,525,2244,288,0,48,2244,288,1161,207,0,48,1161,207,935,208,0,48,935,208
