area_id,area_name,b05003d001,b05003d001_moe,b05003d002,b05003d002_moe,b05003d003,b05003d003_moe,b05003d004,b05003d004_moe,b05003d005,b05003d005_moe,b05003d006,b05003d006_moe,b05003d007,b05003d007_moe,b05003d008,b05003d008_moe,b05003d009,b05003d009_moe,b05003d010,b05003d010_moe,b05003d011,b05003d011_moe,b05003d012,b05003d012_moe,b05003d013,b05003d013_moe,b05003d014,b05003d014_moe,b05003d015,b05003d015_moe,b05003d016,b05003d016_moe,b05003d017,b05003d017_moe,b05003d018,b05003d018_moe,b05003d019,b05003d019_moe,b05003d020,b05003d020_moe,b05003d021,b05003d021_moe,b05003d022,b05003d022_moe,b05003d023,b05003d023_moe
MN23,West Village,5815,683,2221,433,124,86,114,84,10,57,0,56,10,57,2097,425,1042,336,1055,273,344,145,711,234,3594,489,309,134,185,108,124,93,94,81,30,62,3285,457,1196,285,2089,385,1038,295,1051,278
MN24,SoHo-TriBeCa-Civic Center-Little Italy,9343,962,4422,595,833,197,699,191,134,102,13,42,121,102,3589,524,1229,319,2360,415,1357,284,1003,420,4921,574,453,166,381,168,72,72,33,46,39,69,4468,509,1176,312,3292,428,2060,329,1232,332
MN25,Battery Park City-Lower Manhattan,7133,725,3125,464,313,156,174,104,139,127,82,106,57,81,2812,424,1186,317,1626,289,709,199,917,238,4008,486,346,155,245,142,101,75,74,61,27,59,3662,454,1103,296,2559,377,1333,274,1226,301
MN27,Chinatown,30032,1727,14344,976,2409,411,2032,389,377,171,85,76,292,152,11935,839,2141,381,9794,795,5866,634,3928,585,15688,969,2295,389,1873,354,422,150,172,99,250,111,13393,794,1842,326,11551,723,6843,599,4708,626
MN28,Lower East Side,19324,1404,9002,838,1296,303,1135,291,161,92,36,58,125,89,7706,746,1364,351,6342,693,3892,510,2450,544,10322,850,1210,269,1025,259,185,112,116,104,69,70,9112,754,1658,404,7454,607,4901,495,2553,443
MN31,Lenox Hill-Roosevelt Island,8736,993,3804,630,391,173,294,155,97,81,0,53,97,81,3413,590,940,356,2473,463,822,230,1651,396,4932,626,409,154,328,127,81,66,14,55,67,64,4523,582,910,315,3613,506,1502,345,2111,379
MN32,Yorkville,7066,833,3044,571,165,99,122,79,43,74,36,74,7,49,2879,555,1067,352,1812,420,1104,346,708,236,4022,528,299,148,207,124,92,92,59,84,33,63,3723,493,987,263,2736,432,1378,327,1358,302
MN33,East Harlem South,6026,935,3003,611,282,159,239,130,43,64,25,60,18,54,2721,564,618,315,2103,427,1053,282,1050,333,3023,477,139,79,107,69,32,61,5,49,27,61,2884,456,563,213,2321,403,1214,262,1107,290
MN34,East Harlem North,2239,595,1072,342,126,138,111,137,15,51,0,50,15,51,946,294,315,184,631,205,350,144,281,156,1167,319,249,159,245,165,4,52,0,50,4,52,918,243,113,88,805,220,340,146,465,166
MN35,Washington Heights North,2067,428,882,244,112,88,66,64,46,60,26,56,20,54,770,219,153,92,617,196,323,165,294,119,1185,290,64,66,57,64,7,51,7,51,0,52,1121,276,318,126,803,238,478,179,325,142
MN36,Washington Heights South,2558,595,1312,454,41,57,19,57,22,56,0,56,22,56,1271,450,204,118,1067,447,329,160,738,401,1246,302,81,80,64,78,17,59,0,56,17,59,1165,289,298,185,867,220,384,155,483,156
MN40,Upper East Side-Carnegie Hill,3150,578,1263,349,255,146,245,143,10,53,0,52,10,53,1008,275,208,101,800,255,309,130,491,224,1887,360,311,139,161,105,150,96,106,90,44,61,1576,298,358,146,1218,261,640,195,578,186
MN50,Stuyvesant Town-Cooper Village,3593,923,1049,295,47,62,15,30,32,38,0,22,32,38,1002,276,280,157,722,248,475,237,247,167,2544,773,115,75,38,36,77,64,38,42,39,47,2429,762,968,681,1461,410,944,288,517,333
MN99,park-cemetery-etc-Manhattan,6,33,6,33,0,32,0,32,0,32,0,32,0,32,6,33,0,32,6,33,6,33,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
QN01,South Jamaica,2336,673,1204,374,358,188,212,97,146,165,22,53,124,163,846,263,35,57,811,260,389,185,422,162,1132,354,211,123,151,113,60,58,7,46,53,58,921,300,61,59,860,293,449,173,411,180
QN02,Springfield Gardens North,454,304,295,193,117,84,88,65,29,37,29,37,0,31,178,127,133,120,45,42,45,42,0,31,159,118,14,29,0,31,14,29,14,29,0,31,145,114,100,109,45,42,15,36,30,38
