area_id,area_name,b11002h001,b11002h001_moe,b11002h002,b11002h002_moe,b11002h003,b11002h003_moe,b11002h004,b11002h004_moe,b11002h005,b11002h005_moe,b11002h006,b11002h006_moe,b11002h007,b11002h007_moe,b11002h008,b11002h008_moe,b11002h009,b11002h009_moe,b11002h010,b11002h010_moe,b11002h011,b11002h011_moe,b11002h012,b11002h012_moe
MN09,Morningside Heights,21158,1304,10926,1101,9618,1065,9618,1065,0,45,396,209,396,209,0,45,912,332,886,327,26,51,10232,983
MN11,Central Harlem South,8917,866,4329,701,3566,647,3423,619,143,130,133,137,112,121,21,54,630,302,583,284,47,65,4588,633
MN12,Upper West Side,93204,2719,56206,2649,48387,2494,48213,2479,174,123,2553,823,2399,780,154,124,5266,993,4966,947,300,136,36998,1780
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,44266,1704,17900,1489,14597,1459,14430,1433,167,168,899,372,791,331,108,82,2404,688,2152,566,252,178,26366,1238
MN14,Lincoln Square,44317,1996,25427,1922,22683,1886,22683,1886,0,48,642,452,519,334,123,142,2102,619,1956,570,146,132,18890,1438
MN15,Clinton,25304,1295,7504,1018,5724,869,5724,869,0,43,722,362,627,314,95,97,1058,445,1027,433,31,68,17800,1154
MN17,Midtown-Midtown South,17743,1066,8308,891,6999,810,6976,807,23,60,176,139,176,139,0,51,1133,446,1084,424,49,73,9435,839
MN19,Turtle Bay-East Midtown,37496,1710,18377,1555,15835,1458,15702,1438,133,150,832,631,727,580,105,133,1710,508,1640,494,70,72,19119,1111
MN20,Murray Hill-Kips Bay,33555,1722,13244,1378,11419,1230,11378,1223,41,78,445,333,363,250,82,99,1380,566,1366,563,14,45,20311,1377
MN21,Gramercy,19683,1127,7213,941,5708,870,5688,865,20,43,560,365,528,356,32,42,945,421,877,396,68,72,12470,989
MN22,East Village,26634,1318,8085,996,5438,879,5361,868,77,80,1167,498,1026,434,141,107,1480,470,1352,413,128,116,18549,1244
MN23,West Village,52993,1791,23952,1715,20873,1626,20746,1621,127,113,1111,508,1031,482,80,84,1968,475,1862,447,106,81,29041,1260
MN24,SoHo-TriBeCa-Civic Center-Little Italy,26194,1311,13539,1199,11569,1124,11561,1124,8,40,734,325,683,307,51,73,1236,395,1141,371,95,69,12655,950
