area_id,area_name,b12002a001,b12002a001_moe,b12002a002,b12002a002_moe,b12002a003,b12002a003_moe,b12002a004,b12002a004_moe,b12002a005,b12002a005_moe,b12002a006,b12002a006_moe,b12002a007,b12002a007_moe,b12002a008,b12002a008_moe,b12002a009,b12002a009_moe,b12002a010,b12002a010_moe,b12002a011,b12002a011_moe,b12002a012,b12002a012_moe,b12002a013,b12002a013_moe
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,22082,1017,10319,654,3268,451,6094,398,76,57,409,160,472,156,11763,595,3171,402,6168,394,131,99,1432,263,861,204
SI25,Oakwood-Oakwood Beach,17017,788,7942,465,2385,329,4761,321,149,81,312,132,335,134,9075,498,2008,343,4679,327,221,115,1527,266,640,178
SI28,Port Richmond,9391,783,4569,482,1594,342,2450,307,37,41,211,79,277,115,4822,401,1564,268,2239,264,65,43,661,173,293,111
SI32,Rossville-Woodrow,14821,737,7143,434,2045,305,4681,335,11,22,146,85,260,106,7678,475,1588,311,4599,322,183,97,480,132,828,236
SI35,New Brighton-Silver Lake,11393,694,5542,507,2152,401,2939,231,59,53,112,61,280,95,5851,356,1653,254,2960,228,155,81,700,131,383,111
SI36,Old Town-Dongan Hills-South Beach,17505,927,8568,601,3067,447,4544,402,51,60,366,121,540,143,8937,523,2251,331,4400,397,176,96,1303,246,807,176
SI37,Stapleton-Rosebank,11417,782,5496,463,1934,329,2760,296,88,52,266,98,448,143,5921,475,2000,302,2532,263,72,42,776,172,541,149
SI45,New Dorp-Midland Beach,15196,761,7141,453,2077,307,4366,345,73,51,258,97,367,128,8055,481,2121,321,4370,352,156,93,1012,168,396,120
SI48,Arden Heights,18543,824,9329,500,3074,408,5457,342,19,31,326,118,453,207,9214,551,2474,384,5305,344,122,90,555,148,758,195
SI54,Great Kills,33934,939,16112,648,5256,474,9744,464,191,125,307,125,614,176,17822,655,4388,499,9599,454,267,118,2126,295,1442,266
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
