area_id,area_name,b08302001,b08302001_moe,b08302002,b08302002_moe,b08302003,b08302003_moe,b08302004,b08302004_moe,b08302005,b08302005_moe,b08302006,b08302006_moe,b08302007,b08302007_moe,b08302008,b08302008_moe,b08302009,b08302009_moe,b08302010,b08302010_moe,b08302011,b08302011_moe,b08302012,b08302012_moe,b08302013,b08302013_moe,b08302014,b08302014_moe,b08302015,b08302015_moe
QN15,Far Rockaway-Bayswater,18669,1133,721,228,541,187,784,253,1368,288,1164,276,3097,581,2257,415,2594,459,1107,254,1734,324,363,143,309,131,1463,307,1167,272
QN17,Forest Hills,40284,1290,561,163,441,151,468,164,1569,287,2366,369,6592,629,5267,538,9756,760,3725,448,4898,539,1441,269,496,185,1875,344,829,185
QN18,Rego Park,13413,663,452,184,105,57,225,102,584,162,841,215,2276,345,1771,317,2248,304,1039,219,1887,316,535,190,147,77,634,178,669,186
QN19,Glendale,13749,767,270,99,279,110,317,109,727,165,771,161,3542,406,1328,221,3679,434,478,115,611,144,532,175,126,88,572,142,517,124
QN20,Ridgewood,31372,1177,562,167,514,153,627,162,1839,360,1317,253,8039,729,3001,413,9472,736,760,171,1332,241,1258,257,370,133,1147,235,1134,223
QN21,Middle Village,18018,781,439,127,305,99,460,133,1153,222,1349,208,3648,386,2240,328,4599,474,746,143,911,187,573,168,153,96,818,173,624,158
QN22,Flushing,32317,1572,737,253,299,150,779,267,1202,298,1685,380,4138,578,3357,489,6416,752,2462,460,4769,552,2542,463,944,282,1654,342,1333,320
QN23,College Point,10877,774,326,123,389,144,536,196,488,155,890,234,1315,300,1331,276,1441,286,925,238,1237,291,594,191,52,53,740,197,613,202
QN25,Corona,24351,1376,1064,304,636,210,945,250,2873,495,1666,337,3859,573,1953,364,3304,507,1215,311,1635,339,1249,396,383,172,2116,397,1453,347
QN26,North Corona,25577,1570,874,250,1105,268,1258,315,3609,536,1882,449,4139,574,1529,347,3321,465,790,240,1548,312,852,205,818,263,1992,349,1860,410
QN27,East Elmhurst,10826,758,442,152,483,216,395,163,1517,324,728,173,1751,302,597,156,1554,293,373,107,876,200,443,138,157,93,713,235,797,209
QN28,Jackson Heights,50567,1793,1708,334,1482,331,1493,361,3679,551,3052,455,7282,841,4659,554,7580,707,2177,349,5219,604,3095,500,1192,296,3993,527,3956,589
QN29,Elmhurst,39707,1681,1125,262,1326,307,917,248,2973,496,1983,369,6113,654,2504,375,6144,656,2318,389,4135,503,3191,478,1348,302,3203,469,2427,407
QN30,Maspeth,12974,652,511,146,476,130,730,146,1019,183,1111,193,2580,323,1315,225,1781,237,545,135,938,193,410,134,212,86,778,149,568,150
QN31,Hunters Point-Sunnyside-West Maspeth,32696,1222,725,210,437,135,893,268,1689,355,1642,338,4580,533,3919,498,6301,644,3120,419,3807,474,1484,288,566,185,2037,386,1496,307
QN33,Cambria Heights,9287,542,291,103,218,85,684,182,959,205,1138,230,1451,216,746,166,993,185,335,110,398,127,204,99,143,64,787,198,940,188
QN34,Queens Village,27194,1029,1492,260,1053,259,1145,205,2635,356,2276,324,3818,418,2942,362,3080,369,1454,264,1624,285,886,191,476,144,2165,301,2148,287
QN35,Briarwood-Jamaica Hills,18205,868,610,198,562,219,546,169,1555,315,1422,265,2256,368,1896,323,3240,442,1218,249,1448,278,537,161,332,135,1481,280,1102,240
QN37,Kew Gardens Hills,15045,777,502,189,372,169,198,91,791,185,986,194,1674,284,1952,307,3175,435,1037,223,2072,359,744,216,165,71,695,227,682,204
QN38,Pomonok-Flushing Heights-Hillcrest,13184,779,453,193,319,159,452,158,1076,288,1095,277,1475,287,1621,278,1667,280,749,190,1344,341,1272,336,197,98,671,193,793,257
QN41,Fresh Meadows-Utopia,7719,610,195,114,150,116,197,104,406,162,541,185,996,212,896,202,1066,263,778,259,973,267,383,157,89,74,543,231,506,163
QN42,Oakland Gardens,12528,619,324,158,303,162,367,130,747,169,1260,284,1917,327,1710,296,1911,334,1100,286,1358,312,425,165,58,55,567,189,481,164
