area_id,area_name,b06004b001,b06004b001_moe,b06004b002,b06004b002_moe,b06004b003,b06004b003_moe,b06004b004,b06004b004_moe,b06004b005,b06004b005_moe
BK93,Starrett City,6231,847,4322,754,818,267,69,80,1022,309
BK95,Erasmus,26096,1355,9694,879,1354,319,299,118,14749,950
BK96,Rugby-Remsen Village,52145,1813,21276,1272,3248,452,537,161,27084,1306
BK99,park-cemetery-etc-Brooklyn,95,130,95,130,0,40,0,40,0,40
BX01,Claremont-Bathgate,14602,1208,9873,1028,1447,299,349,165,2933,578
BX03,Eastchester-Edenwald-Baychester,26778,1810,12131,1201,2289,571,856,299,11502,1196
BX05,Bedford Park-Fordham North,11210,1186,6236,893,892,214,224,121,3858,740
BX06,Belmont,5558,759,3501,574,650,205,67,71,1340,366
BX07,Bronxdale,11051,971,5862,711,1108,279,199,113,3882,622
BX08,West Farms-Bronx River,10975,1207,6425,866,698,181,406,160,3446,621
BX09,Soundview-Castle Hill-Clason Point-Harding Park,20748,1322,13638,1091,2509,374,600,219,4001,667
BX10,Pelham Bay-Country Club-City Island,680,256,471,226,68,62,0,34,141,107
BX13,Co-op City,28450,1741,15743,1450,4126,629,1012,476,7569,1020
