area_id,area_name,b23024001,b23024001_moe,b23024002,b23024002_moe,b23024003,b23024003_moe,b23024004,b23024004_moe,b23024005,b23024005_moe,b23024006,b23024006_moe,b23024007,b23024007_moe,b23024008,b23024008_moe,b23024009,b23024009_moe,b23024010,b23024010_moe,b23024011,b23024011_moe,b23024012,b23024012_moe,b23024013,b23024013_moe,b23024014,b23024014_moe,b23024015,b23024015_moe,b23024016,b23024016_moe,b23024017,b23024017_moe,b23024018,b23024018_moe,b23024019,b23024019_moe,b23024020,b23024020_moe,b23024021,b23024021_moe,b23024022,b23024022_moe,b23024023,b23024023_moe,b23024024,b23024024_moe,b23024025,b23024025_moe,b23024026,b23024026_moe,b23024027,b23024027_moe,b23024028,b23024028_moe,b23024029,b23024029_moe,b23024030,b23024030_moe,b23024031,b23024031_moe
QN29,Elmhurst,57355,1991,11124,1052,836,227,262,112,0,60,262,112,153,89,109,86,574,199,10288,1017,4710,588,0,60,4710,588,3947,513,763,236,5578,717,46231,1879,1913,314,862,229,0,60,862,229,751,216,111,95,1051,223,44318,1835,36306,1605,23,69,36283,1605,34683,1581,1600,295,8012,736
QN30,Maspeth,18001,792,1731,309,220,110,50,59,0,45,50,59,33,53,17,50,170,97,1511,278,785,193,0,45,785,193,622,177,163,73,726,168,16270,811,959,195,496,139,0,45,496,139,479,138,17,46,463,125,15311,769,12709,673,0,45,12709,673,11723,638,986,189,2602,302
QN31,Hunters Point-Sunnyside-West Maspeth,43744,1371,4690,618,521,175,107,85,0,56,107,85,71,67,36,76,414,165,4169,577,2053,372,0,56,2053,372,1620,327,433,157,2116,381,39054,1399,1966,332,1050,249,14,60,1036,249,764,199,272,138,916,224,37088,1354,32261,1215,43,74,32218,1216,30558,1192,1660,298,4827,550
QN33,Cambria Heights,12416,661,795,303,145,108,26,46,0,43,26,46,11,45,15,44,119,106,650,270,252,113,0,43,252,113,198,98,54,53,398,179,11621,649,583,150,232,93,0,43,232,93,205,87,27,46,351,110,11038,635,9308,561,33,55,9275,560,8755,543,520,127,1730,285
QN34,Queens Village,36833,1212,3224,522,470,163,100,77,0,56,100,77,34,65,66,71,370,150,2754,471,1777,326,0,56,1777,326,1065,246,712,195,977,256,33609,1244,2424,354,1408,275,0,56,1408,275,1161,243,247,119,1016,206,31185,1182,27120,1069,29,69,27091,1070,24681,1015,2410,349,4065,424
QN35,Briarwood-Jamaica Hills,25197,1023,3294,622,524,174,117,77,0,47,117,77,83,61,34,58,407,158,2770,576,1689,384,0,47,1689,384,1142,271,547,231,1081,289,21903,1037,1258,257,591,179,0,47,591,179,539,170,52,57,667,181,20645,979,17290,883,0,47,17290,883,15923,827,1367,281,3355,390
QN37,Kew Gardens Hills,21556,935,3076,674,396,185,130,93,0,40,130,93,63,76,67,58,266,126,2680,644,1018,241,0,40,1018,241,762,204,256,133,1662,537,18480,924,1326,290,643,219,0,40,643,219,608,216,35,56,683,202,17154,917,14383,771,0,40,14383,771,13246,771,1137,237,2771,455
QN38,Pomonok-Flushing Heights-Hillcrest,19441,881,2969,561,403,175,21,36,0,37,21,36,8,38,13,35,382,173,2566,547,1172,309,0,37,1172,309,889,253,283,161,1394,394,16472,921,1325,314,705,237,0,37,705,237,649,227,56,71,620,190,15147,909,12309,792,0,37,12309,792,11185,727,1124,268,2838,433
QN41,Fresh Meadows-Utopia,11260,678,1241,391,136,92,53,60,0,27,53,60,34,50,19,36,83,73,1105,379,550,209,0,27,550,209,399,165,151,117,555,246,10019,723,467,161,168,77,0,27,168,77,152,72,16,35,299,119,9552,701,7841,632,0,27,7841,632,7240,607,601,186,1711,303
QN42,Oakland Gardens,17463,693,1628,432,192,117,49,72,0,34,49,72,0,34,49,72,143,97,1436,389,762,255,0,34,762,255,595,223,167,105,674,241,15835,776,784,205,402,176,0,34,402,176,402,176,0,34,382,120,15051,760,12290,651,0,34,12290,651,11674,632,616,171,2761,382
