area_id,area_name,b25012001,b25012001_moe,b25012002,b25012002_moe,b25012003,b25012003_moe,b25012004,b25012004_moe,b25012005,b25012005_moe,b25012006,b25012006_moe,b25012007,b25012007_moe,b25012008,b25012008_moe,b25012009,b25012009_moe,b25012010,b25012010_moe,b25012011,b25012011_moe,b25012012,b25012012_moe,b25012013,b25012013_moe,b25012014,b25012014_moe,b25012015,b25012015_moe,b25012016,b25012016_moe,b25012017,b25012017_moe
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,39072,730,11444,651,1830,295,1792,289,721,209,271,174,800,192,38,74,9614,596,27628,832,2349,361,2135,351,954,270,251,104,930,227,214,120,25279,836
MN14,Lincoln Square,32169,851,12179,703,2417,361,2345,356,958,229,238,125,1149,273,72,74,9762,655,19990,815,3032,454,2856,442,1661,341,394,151,801,274,176,167,16958,797
MN15,Clinton,25261,639,3845,430,333,124,296,118,172,99,52,72,72,66,37,55,3512,430,21416,685,1520,287,1403,269,398,151,207,99,798,220,117,98,19896,688
MN17,Midtown-Midtown South,15964,499,3588,346,540,133,536,134,239,100,61,61,236,97,4,50,3048,320,12376,481,753,203,679,200,476,161,5,50,198,105,74,76,11623,490
MN19,Turtle Bay-East Midtown,29094,755,11961,631,1223,226,1223,226,677,196,73,64,473,139,0,48,10738,628,17133,726,1483,297,1458,295,837,234,118,100,503,178,25,61,15650,712
MN20,Murray Hill-Kips Bay,26173,724,7555,579,1293,273,1293,273,687,237,188,113,418,118,0,42,6262,547,18618,778,1267,240,1134,245,402,157,127,82,605,195,133,83,17351,770
MN21,Gramercy,14877,492,5081,430,603,155,603,155,220,99,83,61,300,123,0,34,4478,403,9796,477,376,112,376,112,180,89,27,36,169,96,0,34,9420,474
MN22,East Village,22306,477,2936,368,460,164,436,160,189,123,39,56,208,101,24,40,2476,350,19370,537,1316,260,1195,259,349,139,210,117,636,193,121,75,18054,556
MN23,West Village,37218,714,11672,622,1868,297,1854,296,591,161,256,116,1007,232,14,59,9804,581,25546,789,1821,294,1802,292,786,193,146,104,870,229,19,62,23725,779
MN24,SoHo-TriBeCa-Civic Center-Little Italy,18761,519,4995,397,1377,212,1354,211,549,156,228,97,577,141,23,45,3618,353,13766,518,1930,299,1669,301,575,160,155,98,939,259,261,144,11836,526
