area_id,area_name,b13002g001,b13002g001_moe,b13002g002,b13002g002_moe,b13002g003,b13002g003_moe,b13002g004,b13002g004_moe,b13002g005,b13002g005_moe,b13002g006,b13002g006_moe,b13002g007,b13002g007_moe
MN50,Stuyvesant Town-Cooper Village,89,60,0,22,0,22,0,22,89,60,23,29,66,52
MN99,park-cemetery-etc-Manhattan,5,31,0,32,0,32,0,32,5,31,0,32,5,31
QN01,South Jamaica,471,156,32,50,18,48,14,49,439,149,162,77,277,126
QN02,Springfield Gardens North,27,49,27,49,0,31,27,49,0,31,0,31,0,31
QN03,Springfield Gardens South-Brookville,131,91,15,43,15,43,0,29,116,84,63,59,53,53
QN05,Rosedale,158,115,0,35,0,35,0,35,158,115,12,38,146,114
QN06,Jamaica Estates-Holliswood,209,114,0,36,0,36,0,36,209,114,58,57,151,100
QN07,Hollis,377,149,0,36,0,36,0,36,377,149,68,51,309,137
QN08,St. Albans,202,108,12,61,0,59,12,61,190,96,14,57,176,96
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,95,81,0,36,0,36,0,36,95,81,56,70,39,55
QN12,Hammels-Arverne-Edgemere,196,103,47,64,31,60,16,44,149,89,49,52,100,74
QN15,Far Rockaway-Bayswater,356,164,0,46,0,46,0,46,356,164,146,90,210,104
QN17,Forest Hills,514,171,13,64,13,64,0,64,501,170,142,104,359,148
QN18,Rego Park,214,132,17,42,17,42,0,34,197,129,69,62,128,94
QN19,Glendale,195,98,56,63,32,52,24,56,139,88,31,45,108,78
QN20,Ridgewood,412,162,27,66,27,66,0,56,385,157,169,95,216,106
QN21,Middle Village,136,120,0,51,0,51,0,51,136,120,72,72,64,81
QN22,Flushing,455,174,38,69,38,69,0,54,417,167,142,93,275,142
QN23,College Point,134,87,0,34,0,34,0,34,134,87,70,53,64,64
QN25,Corona,248,117,34,57,34,57,0,44,214,110,88,85,126,80
QN26,North Corona,280,153,22,45,22,45,0,45,258,151,173,122,85,79
QN27,East Elmhurst,149,101,4,32,4,32,0,34,145,100,57,59,88,70
QN28,Jackson Heights,1015,290,91,82,75,78,16,67,924,285,288,118,636,222
QN29,Elmhurst,237,128,23,66,22,67,1,59,214,122,54,62,160,118
QN30,Maspeth,107,98,22,49,22,49,0,45,85,96,7,44,78,96
QN31,Hunters Point-Sunnyside-West Maspeth,386,133,25,61,25,61,0,56,361,130,168,98,193,96
QN33,Cambria Heights,72,58,0,43,0,43,0,43,72,58,13,44,59,58
