area_id,area_name,b07009001,b07009001_moe,b07009002,b07009002_moe,b07009003,b07009003_moe,b07009004,b07009004_moe,b07009005,b07009005_moe,b07009006,b07009006_moe,b07009007,b07009007_moe,b07009008,b07009008_moe,b07009009,b07009009_moe,b07009010,b07009010_moe,b07009011,b07009011_moe,b07009012,b07009012_moe,b07009013,b07009013_moe,b07009014,b07009014_moe,b07009015,b07009015_moe,b07009016,b07009016_moe,b07009017,b07009017_moe,b07009018,b07009018_moe,b07009019,b07009019_moe,b07009020,b07009020_moe,b07009021,b07009021_moe,b07009022,b07009022_moe,b07009023,b07009023_moe,b07009024,b07009024_moe,b07009025,b07009025_moe,b07009026,b07009026_moe,b07009027,b07009027_moe,b07009028,b07009028_moe,b07009029,b07009029_moe,b07009030,b07009030_moe,b07009031,b07009031_moe,b07009032,b07009032_moe,b07009033,b07009033_moe,b07009034,b07009034_moe,b07009035,b07009035_moe,b07009036,b07009036_moe
BX52,Schuylerville-Throgs Neck-Edgewater Park,31126,1056,5669,608,10268,757,8213,716,4318,565,2658,385,28734,1103,5360,599,9582,749,7380,695,3911,537,2501,387,1398,336,183,107,487,179,441,153,229,144,58,64,448,184,28,54,97,84,152,111,123,122,48,72,475,231,83,103,82,82,234,173,55,73,21,62,71,85,15,56,20,61,6,52,0,52,30,76
BX55,Soundview-Bruckner,21485,947,8443,721,5988,536,4749,506,1792,304,513,143,18245,949,6929,647,5169,518,4128,487,1517,283,502,143,2407,519,1133,372,579,185,500,183,184,102,11,41,375,170,164,112,138,90,58,65,15,45,0,40,168,127,33,55,26,53,54,63,55,83,0,40,290,147,184,102,76,81,9,39,21,51,0,40
BX59,Westchester-Unionport,16788,839,4924,615,4943,514,4081,464,2274,343,566,165,14814,826,4268,576,4399,482,3538,438,2084,328,525,156,1420,356,390,166,437,191,400,173,162,85,31,46,228,115,76,76,91,75,40,46,11,37,10,39,118,84,5,35,6,31,103,83,4,33,0,36,208,153,185,152,10,38,0,36,13,37,0,36
BX62,Woodlawn-Wakefield,30366,1082,5611,573,9463,750,7379,602,5091,499,2822,386,28489,1104,5300,561,8943,738,6839,575,4792,486,2615,379,1114,301,192,93,310,128,326,168,177,101,109,91,386,149,48,71,80,73,107,91,86,68,65,71,172,98,36,74,20,50,81,73,19,52,16,50,205,126,35,52,110,104,26,65,17,55,17,49
BX63,West Concourse,23406,986,9148,772,6392,740,5309,582,1900,343,657,195,21223,1000,8179,734,5891,725,5002,572,1575,315,576,176,1185,348,616,284,303,135,161,122,55,57,50,77,452,211,182,135,47,54,124,114,99,94,0,42,178,125,55,69,62,87,0,42,61,71,0,42,368,165,116,104,89,87,22,51,110,95,31,51
BX75,Crotona Park East,11123,643,4581,519,2896,408,2301,347,1067,262,278,110,10129,570,4191,473,2500,341,2109,341,1059,261,270,109,746,288,303,172,266,197,169,89,8,31,0,29,105,87,57,61,25,43,23,43,0,29,0,29,83,86,20,42,55,60,0,29,0,29,8,30,60,76,10,37,50,57,0,29,0,29,0,29
BX98,Rikers Island,6215,403,4285,314,1063,155,740,156,115,56,12,15,1105,177,740,162,228,55,113,66,24,24,0,17,1282,197,898,149,231,93,153,84,0,17,0,17,3577,274,2476,262,577,111,442,99,77,40,5,10,251,94,171,81,27,23,32,31,14,18,7,12,0,17,0,17,0,17,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,887,146,241,103,217,100,245,76,130,56,54,49,697,138,137,72,217,100,206,74,117,55,20,32,156,118,97,89,0,32,31,49,5,31,23,44,8,34,0,32,0,32,8,34,0,32,0,32,26,44,7,33,0,32,0,32,8,33,11,34,0,32,0,32,0,32,0,32,0,32,0,32
MN01,Marble Hill-Inwood,34173,1351,10590,1113,6184,793,7014,629,6324,682,4061,414,29683,1341,9671,1079,5418,690,6158,589,4827,601,3609,403,2472,591,383,191,432,388,372,152,1020,344,265,110,959,303,238,148,210,161,292,150,137,95,82,69,481,216,60,74,6,41,177,134,162,143,76,63,578,294,238,152,118,140,15,45,178,122,29,58
MN03,Central Harlem North-Polo Grounds,51827,1582,11793,1015,12359,985,12767,944,8751,715,6157,628,45964,1561,10561,958,11101,941,11526,906,7286,686,5490,595,3370,609,683,283,776,232,607,218,932,302,372,190,1758,372,445,170,384,154,484,173,299,166,146,123,371,144,2,57,38,64,135,106,134,103,62,67,364,136,102,87,60,79,15,62,100,90,87,80
MN04,Hamilton Heights,34663,1354,8930,915,7413,838,8017,759,6250,710,4053,560,30254,1339,8287,867,6497,780,7277,729,4896,600,3297,485,2727,616,476,308,472,285,504,208,829,323,446,172,615,249,82,61,243,191,37,51,159,115,94,100,633,265,58,80,162,124,82,81,178,132,153,123,434,203,27,51,39,63,117,122,188,129,63,63
MN06,Manhattanville,15422,842,5695,616,3483,461,3183,443,2014,478,1047,267,14262,874,5449,615,3307,458,3011,439,1669,475,826,236,658,219,147,115,99,63,112,84,167,94,133,74,258,127,62,62,77,63,60,59,41,44,18,33,112,68,23,43,0,34,0,34,77,56,12,31,132,108,14,37,0,34,0,34,60,95,58,57
