area_id,area_name,c18120001,c18120001_moe,c18120002,c18120002_moe,c18120003,c18120003_moe,c18120004,c18120004_moe,c18120005,c18120005_moe,c18120006,c18120006_moe,c18120007,c18120007_moe,c18120008,c18120008_moe,c18120009,c18120009_moe,c18120010,c18120010_moe,c18120011,c18120011_moe
QN06,Jamaica Estates-Holliswood,16089,738,12353,630,11510,612,493,213,11017,612,843,240,38,59,805,235,3736,503,689,232,3047,452
QN07,Hollis,14524,777,11713,666,10106,611,546,142,9560,613,1607,279,80,61,1527,275,2811,369,626,147,2185,329
QN08,St. Albans,32600,1136,26861,1019,23706,962,992,191,22714,948,3155,359,173,95,2982,345,5739,517,1375,237,4364,459
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,17573,837,12797,694,11835,657,495,156,11340,658,962,227,101,77,861,198,4776,525,1267,318,3509,399
QN12,Hammels-Arverne-Edgemere,20667,952,14380,796,12078,730,846,212,11232,715,2302,360,231,124,2071,351,6287,625,1573,326,4714,528
QN15,Far Rockaway-Bayswater,28257,1374,20759,1186,18657,1123,1263,339,17394,1119,2102,410,149,101,1953,397,7498,648,1886,298,5612,597
QN17,Forest Hills,55065,1453,43656,1280,40436,1286,1131,239,39305,1288,3220,441,296,141,2924,423,11409,883,2068,328,9341,824
QN18,Rego Park,18513,726,14674,649,13393,641,278,106,13115,644,1281,254,75,53,1206,251,3839,418,521,145,3318,401
QN19,Glendale,20559,919,14864,772,13808,749,292,112,13516,749,1056,220,23,44,1033,217,5695,562,810,172,4885,532
QN20,Ridgewood,47224,1427,34620,1196,31851,1170,729,179,31122,1170,2769,361,179,87,2590,353,12604,837,1497,257,11107,818
QN21,Middle Village,24534,948,18810,790,17640,772,478,121,17162,780,1170,209,54,72,1116,201,5724,484,886,182,4838,465
QN22,Flushing,47279,1787,35681,1634,32317,1554,968,256,31349,1556,3364,496,259,130,3105,472,11598,890,1695,313,9903,820
QN23,College Point,15505,928,12192,802,11054,761,489,183,10565,766,1138,288,33,43,1105,285,3313,429,529,180,2784,384
QN25,Corona,35339,1668,27159,1411,25061,1368,1146,281,23915,1378,2098,361,186,110,1912,346,8180,769,1493,360,6687,694
QN26,North Corona,35510,1864,27600,1645,26027,1574,1144,260,24883,1535,1573,295,190,92,1383,277,7910,666,1114,239,6796,636
QN27,East Elmhurst,15535,932,12142,803,11005,766,394,138,10611,755,1137,243,70,56,1067,230,3393,414,600,174,2793,367
QN28,Jackson Heights,72875,2169,56427,1910,50834,1793,1498,329,49336,1798,5593,658,323,156,5270,630,16448,1010,2307,395,14141,958
QN29,Elmhurst,59168,2057,42664,1733,39965,1691,904,226,39061,1665,2699,413,231,115,2468,405,16504,1042,1631,299,14873,1008
QN30,Maspeth,18623,819,14228,696,12964,663,512,141,12452,647,1264,206,34,51,1230,204,4395,391,674,162,3721,345
