area_id,area_name,b01001c001,b01001c001_moe,b01001c002,b01001c002_moe,b01001c003,b01001c003_moe,b01001c004,b01001c004_moe,b01001c005,b01001c005_moe,b01001c006,b01001c006_moe,b01001c007,b01001c007_moe,b01001c008,b01001c008_moe,b01001c009,b01001c009_moe,b01001c010,b01001c010_moe,b01001c011,b01001c011_moe,b01001c012,b01001c012_moe,b01001c013,b01001c013_moe,b01001c014,b01001c014_moe,b01001c015,b01001c015_moe,b01001c016,b01001c016_moe,b01001c017,b01001c017_moe,b01001c018,b01001c018_moe,b01001c019,b01001c019_moe,b01001c020,b01001c020_moe,b01001c021,b01001c021_moe,b01001c022,b01001c022_moe,b01001c023,b01001c023_moe,b01001c024,b01001c024_moe,b01001c025,b01001c025_moe,b01001c026,b01001c026_moe,b01001c027,b01001c027_moe,b01001c028,b01001c028_moe,b01001c029,b01001c029_moe,b01001c030,b01001c030_moe,b01001c031,b01001c031_moe
BX27,Hunts Point,54,54,28,55,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,7,36,21,56,0,38,0,38,0,38,26,36,0,38,0,38,0,38,0,38,0,38,0,38,10,38,0,38,0,38,6,37,6,37,4,37,0,38,0,38
BX28,Van Cortlandt Village,241,146,100,73,0,43,0,43,0,43,0,43,25,50,0,43,24,56,0,43,16,49,0,43,21,51,0,43,14,47,0,43,141,103,15,48,22,48,0,43,7,42,0,43,21,44,0,43,0,43,14,48,17,50,10,44,35,63,0,43,0,43
BX29,Spuyten Duyvil-Kingsbridge,118,113,71,96,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,62,96,0,38,0,38,9,39,0,38,0,38,47,69,0,38,0,38,0,38,7,38,0,38,0,38,0,38,7,38,0,38,20,50,0,38,0,38,13,42,0,38
BX30,Kingsbridge Heights,152,123,80,71,0,38,0,38,29,45,0,38,0,38,0,38,0,38,34,65,12,40,0,38,0,38,0,38,5,36,0,38,72,62,0,38,16,42,0,38,0,38,0,38,0,38,0,38,11,38,0,38,16,42,0,38,29,50,0,38,0,38
BX31,Allerton-Pelham Gardens,89,119,31,53,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,10,45,10,45,11,42,0,42,58,93,0,42,0,42,0,42,0,42,0,42,0,42,0,42,24,47,0,42,0,42,34,75,0,42,0,42,0,42
BX33,Longwood,54,63,32,52,6,36,0,36,0,36,0,36,0,36,19,37,0,36,0,36,0,36,7,36,0,36,0,36,0,36,0,36,22,40,0,36,0,36,0,36,0,36,0,36,0,36,0,36,15,40,7,36,0,36,0,36,0,36,0,36,0,36
BX34,Melrose South-Mott Haven North,549,383,145,85,0,42,28,57,0,42,0,42,0,42,50,50,0,42,0,42,37,61,16,51,0,42,0,42,0,42,14,44,404,329,40,58,29,56,0,42,33,56,0,42,47,62,60,98,43,59,0,42,71,56,18,54,55,52,8,42,0,42
BX35,Morrisania-Melrose,158,89,48,49,0,40,18,42,0,40,8,40,7,40,0,40,0,40,0,40,0,40,0,40,0,40,15,39,0,40,0,40,110,67,0,40,19,42,14,40,0,40,0,40,0,40,0,40,7,39,14,41,12,41,0,40,14,40,30,58,0,40
BX36,University Heights-Morris Heights,215,183,115,107,0,51,8,50,17,57,0,51,6,49,10,53,37,63,0,51,37,63,0,51,0,51,0,51,0,51,0,51,100,103,0,51,18,57,7,49,0,51,0,51,0,51,0,51,13,52,9,50,20,55,33,55,0,51,0,51,0,51
BX37,Van Nest-Morris Park-Westchester Square,108,87,108,87,0,42,0,42,0,42,0,42,0,42,9,42,12,43,0,42,20,45,25,47,0,42,0,42,42,78,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
BX39,Mott Haven-Port Morris,262,141,95,72,8,50,8,48,11,50,0,50,0,50,11,49,0,50,0,50,16,55,26,63,6,49,9,49,0,50,0,50,167,108,0,50,27,64,34,59,11,50,0,50,7,49,14,52,0,50,31,51,35,51,0,50,8,48,0,50,0,50
BX40,Fordham South,179,151,143,119,0,32,0,32,12,34,11,34,10,33,30,57,0,32,0,32,11,34,30,52,14,35,11,34,14,37,0,32,36,47,0,32,10,33,0,32,0,32,0,32,0,32,0,32,0,32,21,36,5,30,0,32,0,32,0,32,0,32
