area_id,area_name,b25040001,b25040001_moe,b25040002,b25040002_moe,b25040003,b25040003_moe,b25040004,b25040004_moe,b25040005,b25040005_moe,b25040006,b25040006_moe,b25040007,b25040007_moe,b25040008,b25040008_moe,b25040009,b25040009_moe,b25040010,b25040010_moe
SI08,Grymes Hill-Clifton-Fox Hills,7941,274,6315,364,188,80,228,91,1127,224,0,28,13,33,21,41,34,38,15,32
SI11,Charleston-Richmond Valley-Tottenville,7622,249,6878,280,51,45,68,49,625,147,0,32,0,32,0,32,0,32,0,32
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,10025,314,8785,356,177,69,269,101,737,174,19,47,0,38,0,38,8,38,30,49
SI14,Grasmere-Arrochar-Ft. Wadsworth,5438,217,4762,240,61,45,180,70,390,143,0,27,11,29,0,27,29,32,5,26
SI22,West New Brighton-New Brighton-St. George,11686,391,8310,430,264,115,732,159,2195,278,12,43,0,40,0,40,50,49,123,72
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,11096,273,9977,317,88,68,469,115,550,158,0,38,8,39,0,38,0,38,4,37
SI25,Oakwood-Oakwood Beach,8194,240,7037,307,93,63,261,94,743,180,0,32,0,32,0,32,46,51,14,35
SI28,Port Richmond,6369,244,5241,302,54,41,270,104,745,173,0,32,16,28,0,32,16,38,27,40
SI32,Rossville-Woodrow,6945,207,6735,221,43,44,72,48,88,56,0,29,0,29,0,29,7,27,0,29
SI35,New Brighton-Silver Lake,6303,219,4806,274,35,34,201,99,1240,196,0,27,0,27,0,27,0,27,21,31
SI36,Old Town-Dongan Hills-South Beach,8752,234,7505,292,92,55,506,122,545,147,0,32,37,47,0,32,9,33,58,46
SI37,Stapleton-Rosebank,9115,292,7771,337,82,51,242,85,844,178,0,38,9,39,0,38,67,93,100,71
SI45,New Dorp-Midland Beach,7881,240,6765,302,65,47,188,82,853,175,0,29,0,29,0,29,0,29,10,30
SI48,Arden Heights,8805,191,8434,213,18,37,172,74,155,72,0,29,12,33,0,29,14,33,0,29
SI54,Great Kills,15289,221,14155,289,117,84,361,121,620,161,0,42,36,56,0,42,0,42,0,42
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
