area_id,area_name,b17010g001,b17010g001_moe,b17010g002,b17010g002_moe,b17010g003,b17010g003_moe,b17010g004,b17010g004_moe,b17010g005,b17010g005_moe,b17010g006,b17010g006_moe,b17010g007,b17010g007_moe,b17010g008,b17010g008_moe,b17010g009,b17010g009_moe,b17010g010,b17010g010_moe,b17010g011,b17010g011_moe,b17010g012,b17010g012_moe,b17010g013,b17010g013_moe,b17010g014,b17010g014_moe,b17010g015,b17010g015_moe,b17010g016,b17010g016_moe,b17010g017,b17010g017_moe,b17010g018,b17010g018_moe,b17010g019,b17010g019_moe,b17010g020,b17010g020_moe,b17010g021,b17010g021_moe,b17010g022,b17010g022_moe,b17010g023,b17010g023_moe,b17010g024,b17010g024_moe,b17010g025,b17010g025_moe,b17010g026,b17010g026_moe,b17010g027,b17010g027_moe,b17010g028,b17010g028_moe,b17010g029,b17010g029_moe,b17010g030,b17010g030_moe,b17010g031,b17010g031_moe,b17010g032,b17010g032_moe,b17010g033,b17010g033_moe,b17010g034,b17010g034_moe,b17010g035,b17010g035_moe,b17010g036,b17010g036_moe,b17010g037,b17010g037_moe,b17010g038,b17010g038_moe,b17010g039,b17010g039_moe,b17010g040,b17010g040_moe,b17010g041,b17010g041_moe
BK30,Dyker Heights,61,60,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,61,60,46,57,6,51,0,51,0,51,6,51,40,58,15,53,0,51,0,51,0,51,0,51,0,51,0,51,15,53,15,53,0,51,0,51,15,53,0,51
BK31,Bay Ridge,255,108,71,82,59,81,59,81,0,66,6,65,53,80,0,66,12,67,12,67,12,67,0,66,12,67,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,184,94,114,82,99,82,26,68,19,67,54,79,15,66,70,77,51,78,18,71,18,71,0,66,0,66,33,73,19,65,10,67,0,66,10,67,0,66,9,64
BK32,Sunset Park West,195,96,25,55,17,55,17,55,0,49,0,49,17,55,0,49,8,49,0,49,0,49,0,49,0,49,0,49,0,49,8,49,8,49,0,49,0,49,8,49,0,49,170,93,103,79,55,57,0,49,0,49,55,57,48,68,67,66,25,54,15,54,15,54,0,49,0,49,10,49,42,63,17,51,0,49,0,49,17,51,25,62
BK33,Carroll Gardens-Columbia Street-Red Hook,166,107,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,166,107,63,56,34,49,22,48,0,45,12,46,29,50,103,100,33,54,18,52,0,45,0,45,18,52,15,48,70,86,70,86,0,45,26,50,44,82,0,45
BK34,Sunset Park East,178,84,59,66,40,66,40,66,17,61,11,60,12,61,0,59,19,59,0,59,0,59,0,59,0,59,0,59,0,59,19,59,19,59,0,59,8,59,11,59,0,59,119,77,55,61,24,60,0,59,0,59,24,60,31,60,64,74,27,66,0,59,0,59,0,59,0,59,27,66,37,65,37,65,0,59,0,59,37,65,0,59
BK35,Stuyvesant Heights,270,115,40,63,0,51,0,51,0,51,0,51,0,51,0,51,40,63,18,56,18,56,0,51,18,56,0,51,0,51,22,57,17,57,0,51,0,51,17,57,5,51,230,109,101,84,101,84,13,55,41,69,47,67,0,51,129,85,47,67,13,54,0,51,0,51,13,54,34,65,82,71,47,66,27,59,20,59,0,51,35,57
BK37,Park Slope-Gowanus,340,111,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,340,111,221,89,149,84,107,77,6,57,36,65,72,65,119,84,58,71,18,63,0,58,18,63,0,58,40,67,61,72,32,66,12,59,0,58,20,65,29,64
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,191,87,33,55,0,42,0,42,0,42,0,42,0,42,0,42,33,55,0,42,0,42,0,42,0,42,0,42,0,42,33,55,33,55,25,55,0,42,8,42,0,42,158,77,88,72,36,54,30,54,0,42,6,42,52,63,70,60,0,42,0,42,0,42,0,42,0,42,0,42,70,60,14,42,10,43,4,40,0,42,56,58
BK40,Windsor Terrace,47,45,18,41,0,32,0,32,0,32,0,32,0,32,0,32,18,41,0,32,0,32,0,32,0,32,0,32,0,32,18,41,18,41,0,32,0,32,18,41,0,32,29,37,18,36,3,31,0,32,3,31,0,32,15,37,11,33,11,33,0,32,0,32,0,32,0,32,11,33,0,32,0,32,0,32,0,32,0,32,0,32
BK41,Kensington-Ocean Parkway,169,96,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,169,96,118,90,41,47,14,45,12,42,15,43,77,86,51,44,14,38,5,39,0,40,0,40,5,39,9,39,37,44,22,43,0,40,9,40,13,43,15,40
BK42,Flatbush,472,150,136,99,59,81,46,79,20,74,0,68,26,73,13,70,77,89,33,82,33,82,33,82,0,68,0,68,0,68,44,76,17,71,0,68,0,68,17,71,27,72,336,129,195,99,101,83,37,74,26,72,38,75,94,85,141,101,42,81,42,81,16,71,0,68,26,77,0,68,99,88,33,73,9,68,0,68,24,73,66,84
BK43,Midwood,198,88,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,198,88,166,84,43,56,38,56,0,51,5,50,123,79,32,54,13,53,0,51,0,51,0,51,0,51,13,53,19,53,19,53,0,51,0,51,19,53,0,51
BK44,Madison,90,61,27,49,27,49,27,49,9,47,6,46,12,49,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,63,59,43,55,12,48,0,46,0,46,12,48,31,54,20,48,10,47,0,46,0,46,0,46,0,46,10,47,10,47,10,47,0,46,0,46,10,47,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,84,67,14,58,14,58,0,55,0,55,0,55,0,55,14,58,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,70,65,39,58,19,54,0,55,0,55,19,54,20,58,31,59,13,58,0,55,0,55,0,55,0,55,13,58,18,56,8,55,0,55,8,55,0,55,10,56
BK46,Ocean Parkway South,33,39,4,35,0,36,0,36,0,36,0,36,0,36,0,36,4,35,0,36,0,36,0,36,0,36,0,36,0,36,4,35,4,35,0,36,0,36,4,35,0,36,29,40,14,36,4,35,0,36,4,35,0,36,10,37,15,40,0,36,0,36,0,36,0,36,0,36,0,36,15,40,15,40,0,36,0,36,15,40,0,36
BK50,Canarsie,112,82,37,76,0,70,0,70,0,70,0,70,0,70,0,70,37,76,0,70,0,70,0,70,0,70,0,70,0,70,37,76,29,76,0,70,29,76,0,70,8,71,75,76,25,71,11,71,11,71,0,70,0,70,14,70,50,74,16,70,12,70,11,71,0,70,1,69,4,69,34,74,22,74,0,70,14,74,8,70,12,69
BK58,Flatlands,207,102,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,207,102,136,87,49,67,9,63,30,65,10,63,87,83,71,79,45,74,22,70,0,62,0,62,22,70,23,65,26,68,22,65,0,62,0,62,22,65,4,65
BK60,Prospect Lefferts Gardens-Wingate,222,120,33,62,0,58,0,58,0,58,0,58,0,58,0,58,33,62,0,58,0,58,0,58,0,58,0,58,0,58,33,62,33,62,19,61,14,59,0,58,0,58,189,118,52,67,41,66,27,64,0,58,14,60,11,59,137,110,38,77,0,58,0,58,0,58,0,58,38,77,99,97,18,59,8,58,0,58,10,58,81,95
BK61,Crown Heights North,303,116,85,87,3,66,3,66,0,67,3,66,0,67,0,67,82,86,0,67,0,67,0,67,0,67,0,67,0,67,82,86,58,85,12,68,0,67,46,84,24,68,218,99,107,82,55,76,26,74,17,71,12,65,52,73,111,86,32,75,12,68,0,67,12,68,0,67,20,74,79,78,17,70,0,67,0,67,17,70,62,75
BK63,Crown Heights South,76,58,32,48,17,45,17,45,0,40,0,40,17,45,0,40,15,43,0,40,0,40,0,40,0,40,0,40,0,40,15,43,0,40,0,40,0,40,0,40,15,43,44,51,8,40,8,40,8,40,0,40,0,40,0,40,36,51,0,40,0,40,0,40,0,40,0,40,0,40,36,51,28,51,0,40,0,40,28,51,8,40
BK64,Prospect Heights,52,44,9,33,9,33,0,32,0,32,0,32,0,32,9,33,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,43,42,32,37,23,37,11,33,0,32,12,35,9,33,11,35,0,32,0,32,0,32,0,32,0,32,0,32,11,35,11,35,0,32,0,32,11,35,0,32
BK68,Fort Greene,209,90,69,72,0,38,0,38,0,38,0,38,0,38,0,38,69,72,0,38,0,38,0,38,0,38,0,38,0,38,69,72,43,63,0,38,0,38,43,63,26,51,140,70,103,55,38,39,21,39,0,38,17,38,65,51,37,53,0,38,0,38,0,38,0,38,0,38,0,38,37,53,11,36,6,37,0,38,5,37,26,55
BK69,Clinton Hill,334,139,39,60,0,40,0,40,0,40,0,40,0,40,0,40,39,60,26,58,26,58,26,58,0,40,0,40,0,40,13,43,13,43,0,40,0,40,13,43,0,40,295,131,204,120,65,61,56,60,0,40,9,40,139,110,91,59,28,44,17,41,9,41,0,40,8,40,11,42,63,53,23,45,11,42,0,40,12,43,40,47
BK72,Williamsburg,55,59,26,47,5,35,5,35,5,35,0,36,0,36,0,36,21,48,0,36,0,36,0,36,0,36,0,36,0,36,21,48,21,48,0,36,0,36,21,48,0,36,29,48,8,36,8,36,0,36,8,36,0,36,0,36,21,47,0,36,0,36,0,36,0,36,0,36,0,36,21,47,21,47,0,36,0,36,21,47,0,36
