area_id,area_name,b19082001,b19082001_moe,b19082002,b19082002_moe,b19082003,b19082003_moe,b19082004,b19082004_moe,b19082005,b19082005_moe,b19082006,b19082006_moe
QN71,Old Astoria,26,3,63,4,106,5,171,6,334,12,123,9
QN72,Steinway,63,6,169,8,267,8,390,9,712,20,264,19
QN76,Baisley Park,66,6,153,11,251,11,360,13,670,27,254,30
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,23,4,64,4,100,4,148,5,265,11,103,10
SI05,New Springville-Bloomfield-Travis,33,3,83,6,132,5,195,6,357,12,131,10
SI07,Westerleigh,32,5,84,5,122,4,171,5,291,11,103,10
SI08,Grymes Hill-Clifton-Fox Hills,17,3,43,3,66,4,98,4,176,8,63,6
SI11,Charleston-Richmond Valley-Tottenville,17,2,41,3,64,4,96,5,183,10,70,10
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,27,5,73,6,124,7,205,10,370,17,132,14
SI14,Grasmere-Arrochar-Ft. Wadsworth,20,4,49,6,83,6,121,6,228,17,94,17
SI22,West New Brighton-New Brighton-St. George,30,5,93,9,173,9,278,10,527,20,192,16
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,27,3,72,5,115,5,172,7,315,13,125,12
SI25,Oakwood-Oakwood Beach,22,3,52,5,82,4,125,5,220,11,83,11
SI28,Port Richmond,9,3,37,5,68,4,103,5,183,9,64,6
SI32,Rossville-Woodrow,12,2,33,3,50,3,73,3,132,6,50,6
SI35,New Brighton-Silver Lake,15,3,45,5,79,5,120,6,242,13,101,13
SI36,Old Town-Dongan Hills-South Beach,17,2,44,4,79,4,123,5,238,10,89,11
SI37,Stapleton-Rosebank,22,4,61,5,109,8,180,8,327,16,122,14
SI45,New Dorp-Midland Beach,19,3,47,4,82,5,124,6,228,13,90,13
SI48,Arden Heights,19,3,49,3,70,3,97,3,164,6,59,5
SI54,Great Kills,37,4,94,5,141,5,198,6,331,13,123,14
