area_id,area_name,b02006001,b02006001_moe,b02006002,b02006002_moe,b02006003,b02006003_moe,b02006004,b02006004_moe,b02006005,b02006005_moe,b02006006,b02006006_moe,b02006007,b02006007_moe,b02006008,b02006008_moe,b02006009,b02006009_moe,b02006010,b02006010_moe,b02006011,b02006011_moe,b02006012,b02006012_moe,b02006013,b02006013_moe,b02006014,b02006014_moe,b02006015,b02006015_moe,b02006016,b02006016_moe,b02006017,b02006017_moe,b02006018,b02006018_moe,b02006019,b02006019_moe
MN24,SoHo-TriBeCa-Civic Center-Little Italy,9343,962,422,186,6,41,0,42,7269,916,167,118,0,42,0,42,237,113,419,194,0,42,25,47,101,147,0,42,75,78,41,73,286,169,202,139,93,89
MN25,Battery Park City-Lower Manhattan,7133,725,1193,329,0,42,0,42,3230,578,342,192,0,42,0,42,234,123,1406,375,37,70,0,42,149,152,28,50,186,121,23,53,133,94,125,78,47,62
MN27,Chinatown,30032,1727,275,146,317,255,56,81,27870,1671,224,174,0,44,65,113,178,131,406,229,0,44,181,218,0,44,0,44,15,49,8,44,50,50,194,132,193,200
MN28,Lower East Side,19324,1404,949,409,91,133,0,56,16033,1385,189,112,110,186,93,146,483,214,406,186,0,56,62,123,81,96,31,74,29,62,38,57,249,231,215,216,265,321
MN31,Lenox Hill-Roosevelt Island,8736,993,2056,595,82,122,0,53,2725,599,952,363,0,53,0,53,883,310,1260,369,0,53,46,66,109,122,95,99,128,112,11,54,206,216,145,116,38,76
MN32,Yorkville,7066,833,1240,404,0,50,36,74,2764,560,442,222,0,50,16,54,1261,367,874,319,0,50,30,61,77,87,0,50,31,57,0,50,72,68,118,91,105,114
MN33,East Harlem South,6026,935,1081,506,251,371,0,50,2693,588,798,315,0,50,9,51,355,185,508,209,0,50,0,50,34,71,37,57,93,120,12,50,26,52,121,98,8,50
MN34,East Harlem North,2239,595,80,88,402,389,0,50,844,415,238,201,0,50,0,50,273,164,313,243,0,50,0,50,25,63,0,50,27,65,0,50,27,58,10,50,0,50
MN35,Washington Heights North,2067,428,332,151,0,52,8,52,604,242,387,193,0,52,0,52,171,100,371,199,0,52,0,52,5,50,0,52,0,52,20,64,63,83,70,108,36,63
MN36,Washington Heights South,2558,595,472,242,74,113,0,56,775,318,378,295,0,56,0,56,199,139,326,290,6,56,0,56,25,66,84,125,135,151,21,56,26,61,16,59,21,62
