area_id,area_name,c18130001,c18130001_moe,c18130002,c18130002_moe,c18130003,c18130003_moe,c18130004,c18130004_moe,c18130005,c18130005_moe,c18130006,c18130006_moe,c18130007,c18130007_moe,c18130008,c18130008_moe,c18130009,c18130009_moe,c18130010,c18130010_moe,c18130011,c18130011_moe,c18130012,c18130012_moe,c18130013,c18130013_moe,c18130014,c18130014_moe,c18130015,c18130015_moe,c18130016,c18130016_moe,c18130017,c18130017_moe,c18130018,c18130018_moe,c18130019,c18130019_moe,c18130020,c18130020_moe,c18130021,c18130021_moe,c18130022,c18130022_moe
BX05,Bedford Park-Fordham North,52343,1959,14763,1088,767,227,528,196,239,120,13996,1039,6095,938,7901,802,33902,1444,4305,540,2027,368,2278,396,29597,1461,7506,910,22091,1530,3678,395,1817,280,667,191,1150,243,1861,316,478,153,1383,301
BX06,Belmont,23002,1316,7058,802,510,185,421,183,89,67,6548,772,3807,726,2741,505,13973,838,2170,343,1239,289,931,207,11803,866,4716,690,7087,794,1971,265,928,166,392,141,536,148,1043,239,406,147,637,188
BX07,Bronxdale,33314,1339,7714,689,588,197,329,155,259,110,7126,665,2375,480,4751,591,21548,1069,3051,442,1062,267,1989,379,18497,1080,3125,441,15372,1098,4052,339,2513,323,780,202,1733,289,1539,245,306,117,1233,218
BX08,West Farms-Bronx River,35225,1705,9720,945,380,139,155,87,225,113,9340,937,4239,804,5101,714,22504,1221,2096,375,1000,258,1096,256,20408,1230,5003,667,15405,1229,3001,354,1179,210,452,139,727,175,1822,314,335,138,1487,321
BX09,Soundview-Castle Hill-Clason Point-Harding Park,53477,1865,13277,1029,561,174,230,127,331,134,12716,1013,4158,705,8558,850,33593,1416,4244,531,1456,303,2788,440,29349,1355,5297,662,24052,1354,6607,468,2469,312,690,189,1779,269,4138,413,838,205,3300,395
BX10,Pelham Bay-Country Club-City Island,25884,1306,4321,600,144,93,46,63,98,69,4177,594,440,259,3737,570,16461,1052,1207,293,171,96,1036,267,15254,1005,1344,379,13910,1021,5102,422,2059,324,306,115,1753,310,3043,333,350,130,2693,333
BX13,Co-op City,42667,1751,7791,859,260,127,89,84,171,99,7531,863,1411,510,6120,793,26661,1473,3301,655,497,232,2804,591,23360,1371,2287,601,21073,1423,8215,558,3042,411,386,139,2656,390,5173,470,565,255,4608,455
BX14,East Concourse-Concourse Village,62099,2128,16870,1177,637,201,399,179,238,109,16233,1177,7418,1008,8815,992,39297,1501,4683,589,2079,382,2604,465,34614,1510,9534,958,25080,1569,5932,482,3051,354,1167,228,1884,316,2881,385,773,224,2108,321
BX17,East Tremont,41028,1590,12729,909,593,191,297,147,296,130,12136,903,6904,863,5232,699,25185,1173,4498,478,2595,387,1903,314,20687,1163,7273,778,13414,1134,3114,302,1585,221,794,185,791,164,1529,272,537,161,992,234
BX22,North Riverdale-Fieldston-Riverdale,23805,1088,4773,596,117,74,0,38,117,74,4656,594,267,211,4389,568,14142,741,826,226,176,152,650,170,13316,718,675,202,12641,709,4890,357,1685,282,196,122,1489,262,3205,300,268,112,2937,297
BX26,Highbridge,36686,1392,11105,857,656,200,473,169,183,118,10449,835,4985,720,5464,684,23026,933,3834,494,2058,390,1776,360,19192,941,5546,681,13646,970,2555,314,1267,243,534,160,733,201,1288,234,521,160,767,186
BX27,Hunts Point,26457,1209,8462,673,525,167,408,154,117,70,7937,652,4117,589,3820,526,15735,865,2912,394,1752,334,1160,255,12823,820,4503,539,8320,742,2260,222,1190,185,555,135,635,139,1070,180,573,150,497,134
BX28,Van Cortlandt Village,48603,1765,11805,888,620,195,381,150,239,131,11185,892,4202,703,6983,733,32024,1293,3031,459,1006,258,2025,368,28993,1250,5972,735,23021,1303,4774,432,1916,326,295,107,1621,318,2858,367,566,162,2292,347
BX29,Spuyten Duyvil-Kingsbridge,28696,1032,5510,525,129,99,61,68,68,80,5381,506,806,305,4575,450,18170,804,1519,295,454,187,1065,233,16651,805,1287,332,15364,783,5016,402,1907,278,318,119,1589,260,3109,318,208,87,2901,310
BX30,Kingsbridge Heights,29707,1379,7006,680,347,175,42,50,305,164,6659,644,3002,580,3657,566,20106,1145,2008,342,1018,254,990,256,18098,1144,4847,729,13251,1181,2595,294,1297,218,475,142,822,206,1298,242,278,118,1020,222
BX31,Allerton-Pelham Gardens,31637,1373,7679,729,307,202,169,186,138,84,7372,682,1316,369,6056,661,19659,998,2164,302,639,188,1525,285,17495,951,1875,387,15620,945,4299,383,1504,236,98,62,1406,233,2795,323,187,78,2608,316
BX33,Longwood,25103,1312,8106,763,579,187,319,139,260,125,7527,746,3559,652,3968,562,14955,930,2294,382,1292,295,1002,255,12661,890,4004,508,8657,906,2042,296,1107,218,406,126,701,190,935,213,429,147,506,156
BX34,Melrose South-Mott Haven North,38487,1690,12250,1000,885,235,685,217,200,114,11365,957,6442,920,4923,692,22971,1122,3973,523,2098,379,1875,379,18998,1146,5590,751,13408,1120,3266,336,1788,267,661,174,1127,252,1478,252,349,129,1129,223
BX35,Morrisania-Melrose,37547,1463,11164,800,609,173,376,150,233,98,10555,767,4693,642,5862,672,23422,1025,3585,473,1885,338,1700,333,19837,1030,6119,706,13718,1030,2961,343,1384,239,475,139,909,212,1577,279,429,140,1148,249
BX36,University Heights-Morris Heights,53131,1802,14617,968,1088,247,675,197,413,163,13529,931,6728,845,6801,728,35099,1354,5616,546,2761,402,2855,440,29483,1317,9162,956,20321,1346,3415,371,1696,268,611,153,1085,229,1719,308,432,149,1287,282
BX37,Van Nest-Morris Park-Westchester Square,29371,1258,7649,684,319,116,126,73,193,97,7330,667,2329,558,5001,585,18473,936,1602,262,607,153,995,212,16871,921,3112,523,13759,917,3249,379,1175,192,223,96,952,172,2074,339,320,120,1754,314
BX39,Mott Haven-Port Morris,51661,1643,15298,931,981,255,732,231,249,103,14317,911,7780,828,6537,685,31665,1271,6407,603,3409,437,2998,445,25258,1209,8945,768,16313,1172,4698,354,3003,311,1414,233,1589,262,1695,265,509,143,1186,231
BX40,Fordham South,26037,1339,8803,877,678,246,516,219,162,105,8125,851,4788,781,3337,606,15743,1017,2468,366,1423,286,1045,264,13275,990,4373,579,8902,969,1491,286,701,205,251,111,450,163,790,224,245,133,545,182
BX41,Mount Hope,51645,1708,14625,840,895,196,453,138,442,146,13730,824,6713,732,7017,710,33479,1314,4645,473,2480,357,2165,337,28834,1284,8599,848,20235,1267,3541,353,1855,283,592,155,1263,255,1686,267,525,153,1161,228
