area_id,area_name,c21001g001,c21001g001_moe,c21001g002,c21001g002_moe,c21001g003,c21001g003_moe,c21001g004,c21001g004_moe,c21001g005,c21001g005_moe,c21001g006,c21001g006_moe,c21001g007,c21001g007_moe,c21001g008,c21001g008_moe,c21001g009,c21001g009_moe,c21001g010,c21001g010_moe,c21001g011,c21001g011_moe,c21001g012,c21001g012_moe,c21001g013,c21001g013_moe,c21001g014,c21001g014_moe,c21001g015,c21001g015_moe
QN12,Hammels-Arverne-Edgemere,464,177,203,91,191,87,16,37,175,85,12,44,12,44,0,38,261,115,216,104,19,48,197,99,45,52,0,38,45,52
QN15,Far Rockaway-Bayswater,1011,294,487,174,455,171,44,60,411,169,32,50,19,47,13,43,524,187,417,162,0,46,417,162,107,80,0,46,107,80
QN17,Forest Hills,1398,336,604,181,515,169,3,61,512,169,89,89,0,64,89,89,794,242,642,207,0,64,642,207,152,99,0,64,152,99
QN18,Rego Park,470,173,178,96,150,86,19,42,131,72,28,37,1,32,27,38,292,106,270,104,0,34,270,104,22,39,0,34,22,39
QN19,Glendale,321,146,113,70,107,71,0,43,107,71,6,43,0,43,6,43,208,111,188,97,0,43,188,97,20,52,0,43,20,52
QN20,Ridgewood,937,331,513,242,493,241,3,56,490,241,20,58,8,56,12,58,424,142,424,142,0,56,424,142,0,56,0,56,0,56
QN21,Middle Village,311,236,121,123,110,118,0,51,110,118,11,52,0,51,11,52,190,127,180,126,14,51,166,127,10,53,0,51,10,53
QN22,Flushing,1684,545,993,346,929,340,20,52,909,339,64,76,34,74,30,55,691,248,660,245,0,54,660,245,31,57,0,54,31,57
QN23,College Point,307,148,150,89,138,89,0,34,138,89,12,32,0,34,12,32,157,87,135,85,0,34,135,85,22,33,0,34,22,33
QN25,Corona,734,314,374,216,310,207,0,44,310,207,64,61,15,47,49,57,360,148,327,145,26,59,301,138,33,49,0,44,33,49
QN26,North Corona,773,338,455,208,418,203,0,45,418,203,37,50,18,50,19,45,318,157,308,156,0,45,308,156,10,44,0,45,10,44
QN27,East Elmhurst,580,259,330,136,321,136,34,55,287,128,9,32,0,34,9,32,250,154,209,127,0,34,209,127,41,51,0,34,41,51
QN28,Jackson Heights,2855,679,1369,416,1215,406,10,67,1205,406,154,99,8,65,146,99,1486,345,1306,323,0,66,1306,323,180,107,0,66,180,107
QN29,Elmhurst,1073,332,715,241,598,219,0,60,598,219,117,86,0,60,117,86,358,148,287,134,0,60,287,134,71,71,0,60,71,71
QN30,Maspeth,247,159,78,57,68,55,0,45,68,55,10,46,10,46,0,45,169,147,165,147,0,45,165,147,4,44,0,45,4,44
QN31,Hunters Point-Sunnyside-West Maspeth,1226,342,658,228,596,222,28,70,568,218,62,67,6,57,56,67,568,169,487,157,6,57,481,156,81,72,0,56,81,72
QN33,Cambria Heights,138,86,61,62,32,47,5,42,27,46,29,47,0,43,29,47,77,57,62,55,0,43,62,55,15,46,0,43,15,46
QN34,Queens Village,2820,611,1462,352,1304,318,39,67,1265,316,158,99,28,69,130,90,1358,312,1227,288,0,56,1227,288,131,85,0,56,131,85
QN35,Briarwood-Jamaica Hills,1407,368,669,207,608,200,0,47,608,200,61,56,0,47,61,56,738,222,621,212,0,47,621,212,117,71,0,47,117,71
QN37,Kew Gardens Hills,924,282,490,171,427,165,23,50,404,156,63,48,13,43,50,44,434,160,314,137,0,40,314,137,120,84,0,40,120,84
QN38,Pomonok-Flushing Heights-Hillcrest,650,243,284,133,271,135,15,42,256,129,13,38,13,38,0,37,366,149,317,137,0,37,317,137,49,70,0,37,49,70
QN41,Fresh Meadows-Utopia,316,192,103,71,95,64,0,27,95,64,8,27,0,27,8,27,213,134,188,119,0,27,188,119,25,36,0,27,25,36
QN42,Oakland Gardens,547,323,187,106,179,106,20,44,159,102,8,35,0,34,8,35,360,236,324,226,0,34,324,226,36,56,0,34,36,56
QN43,Bellerose,536,268,237,124,237,124,0,34,237,124,0,34,0,34,0,34,299,168,296,168,3,32,293,168,3,33,0,34,3,33
QN44,Glen Oaks-Floral Park-New Hyde Park,595,229,337,143,289,132,10,34,279,133,48,45,14,35,34,39,258,137,232,126,0,32,232,126,26,38,0,32,26,38
QN45,Douglas Manor-Douglaston-Little Neck,230,152,123,83,108,80,0,34,108,80,15,38,0,34,15,38,107,95,59,64,0,34,59,64,48,52,0,34,48,52
QN46,Bayside-Bayside Hills,666,251,199,105,174,95,4,48,170,97,25,55,15,55,10,50,467,195,406,190,0,51,406,190,61,65,0,51,61,65
QN47,Ft. Totten-Bay Terrace-Clearview,189,161,135,107,135,107,0,34,135,107,0,34,0,34,0,34,54,74,54,74,0,34,54,74,0,34,0,34,0,34
QN48,Auburndale,219,121,73,68,73,68,5,32,68,64,0,32,0,32,0,32,146,78,113,61,0,32,113,61,33,40,0,32,33,40
QN49,Whitestone,300,124,99,65,53,48,1,36,52,49,46,56,32,51,14,41,201,109,184,110,0,38,184,110,17,38,0,38,17,38
QN50,Elmhurst-Maspeth,176,91,59,44,48,40,0,34,48,40,11,36,0,34,11,36,117,67,94,63,0,34,94,63,23,39,0,34,23,39
QN51,Murray Hill,771,277,367,157,349,157,12,52,337,156,18,49,0,50,18,49,404,151,369,149,0,50,369,149,35,51,0,50,35,51
QN52,East Flushing,396,212,216,120,205,119,21,45,184,115,11,43,0,42,11,43,180,121,152,116,0,42,152,116,28,52,0,42,28,52
