area_id,area_name,b08016001,b08016001_moe,b08016002,b08016002_moe,b08016003,b08016003_moe,b08016004,b08016004_moe,b08016005,b08016005_moe,b08016006,b08016006_moe,b08016007,b08016007_moe,b08016008,b08016008_moe,b08016009,b08016009_moe,b08016010,b08016010_moe,b08016011,b08016011_moe,b08016012,b08016012_moe,b08016013,b08016013_moe,b08016014,b08016014_moe,b08016015,b08016015_moe,b08016016,b08016016_moe,b08016017,b08016017_moe,b08016018,b08016018_moe,b08016019,b08016019_moe,b08016020,b08016020_moe,b08016021,b08016021_moe,b08016022,b08016022_moe,b08016023,b08016023_moe
QN43,Bellerose,11960,755,11960,755,11865,752,8261,622,3604,548,95,61,53,49,42,49,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
QN44,Glen Oaks-Floral Park-New Hyde Park,10245,664,10245,664,10175,663,6756,569,3419,450,55,43,33,39,22,33,15,34,0,32,15,34,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
QN45,Douglas Manor-Douglaston-Little Neck,12406,702,12406,702,12087,698,9031,640,3056,443,319,173,128,113,191,134,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
QN46,Bayside-Bayside Hills,21346,808,21346,808,21114,805,17632,739,3482,372,223,96,92,71,131,81,9,52,0,51,9,52,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
QN47,Ft. Totten-Bay Terrace-Clearview,10202,725,10202,725,10143,730,8418,715,1725,313,49,53,20,35,29,53,0,34,0,34,0,34,10,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
QN48,Auburndale,9079,510,9079,510,8975,503,7765,473,1210,245,92,66,53,56,39,46,12,32,12,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
QN49,Whitestone,14119,724,14119,724,13947,717,11805,644,2142,320,172,101,56,57,116,88,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
QN50,Elmhurst-Maspeth,12636,837,12636,837,12471,848,11955,834,516,155,165,84,89,71,76,60,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
QN51,Murray Hill,24296,1116,24296,1116,23929,1115,20995,1073,2934,409,302,120,133,78,169,103,45,69,0,50,45,69,20,47,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50
QN52,East Flushing,12404,716,12404,716,12295,714,10698,694,1597,269,99,59,37,52,62,52,0,42,0,42,0,42,10,40,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
QN53,Woodhaven,26157,1072,26157,1072,25940,1061,23748,1025,2192,328,158,87,73,71,85,72,18,56,11,56,7,53,41,62,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
QN54,Richmond Hill,29812,1161,29812,1161,29589,1161,27094,1070,2495,349,191,100,67,75,124,88,0,60,0,60,0,60,32,77,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60
QN55,South Ozone Park,36869,1381,36869,1381,36670,1371,32995,1307,3675,444,104,79,42,67,62,75,30,69,0,62,30,69,65,74,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62
QN56,Ozone Park,9711,753,9711,753,9598,747,9005,723,593,176,85,67,54,55,31,50,28,42,0,36,28,42,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
QN57,Lindenwood-Howard Beach,12640,803,12640,803,12618,804,11034,772,1584,352,14,37,14,37,0,34,0,34,0,34,0,34,8,35,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
QN60,Kew Gardens,11877,680,11877,680,11824,681,10522,641,1302,336,33,48,17,33,16,47,10,33,2,32,8,34,10,37,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
QN61,Jamaica,22264,1013,22264,1013,22146,1008,19021,968,3125,418,109,84,72,79,37,57,0,51,0,51,0,51,9,50,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
QN62,Queensboro Hill,9280,603,9280,603,8992,618,7901,612,1091,230,277,137,104,67,173,109,0,29,0,29,0,29,11,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
