GEOID10,TRBL_10,TRBL_STR_10,TRACT_10,BLOCK_10,BG,TRBG_10,WATER,URBAN_VILLAGE_NUMBER,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,CRA_NO,CRA_NAME,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330099004050,9900.405,9900.4050,9900,4050,4,9900.4,0,0,Outside Villages,Outside Villages,2.1,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",2,Delridge Neighborhoods
530330001002003,100.2003,100.2003,100,2003,2,100.2,0,0,Outside Villages,Outside Villages,8.3,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330100012022,10001.2022,10001.2022,10001,2022,2,10001.2,0,0,Outside Villages,Outside Villages,3.6,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330013001009,1300.1009,1300.1009,1300,1009,1,1300.1,0,0,Outside Villages,Outside Villages,9.2,Licton Springs,Licton Springs,9,Northwest
530330054002000,5400.2,5400.2000,5400,2000,2,5400.2,0,0,Outside Villages,Outside Villages,11.1,Fremont,"Fremont, Wallingford, Northlake",11,Lake Union
530330066002011,6600.2011,6600.2011,6600,2011,2,6600.2,0,107,Eastlake,Residential Urban Village,11.3,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330097021009,9702.1009,9702.1009,9702,1009,1,9702.1,0,0,Outside Villages,Outside Villages,1.3,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330069002027,6900.2027,6900.2027,6900,2027,2,6900.2,0,0,Outside Villages,Outside Villages,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330042003047,4200.3047,4200.3047,4200,3047,3,4200.3,0,0,Outside Villages,Outside Villages,7.3,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",7,Northeast
530330110023002,11002.3002,11002.3002,11002,3002,3,11002.3,0,0,Outside Villages,Outside Villages,3.4,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish
530330047002026,4700.2026,4700.2026,4700,2026,2,4700.2,0,303,Ballard,Hub Urban Village,10.4,Ballard,"Ballard, West Woodland, Adams",10,Ballard
530330069003026,6900.3026,6900.3026,6900,3026,3,6900.3,0,0,Outside Villages,Outside Villages,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330042003043,4200.3043,4200.3043,4200,3043,3,4200.3,0,0,Outside Villages,Outside Villages,7.3,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",7,Northeast
530330011001014,1100.1014,1100.1014,1100,1014,1,1100.1,0,0,Outside Villages,Outside Villages,8.2,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330012002002,1200.2002,1200.2002,1200,2002,2,1200.2,0,301,Northgate,Urban Center,8.1,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",8,North
530330107021014,10702.1014,10702.1014,10702,1014,1,10702.1,0,0,Outside Villages,Outside Villages,2.2,High Point,"High Point, Delridge",2,Delridge Neighborhoods
530330102001006,10200.1006,10200.1006,10200,1006,1,10200.1,0,0,Outside Villages,Outside Villages,4.3,Seward Park,"Seward Park, Hillman City",4,Southeast
530330078002015,7800.2015,7800.2015,7800,2015,2,7800.2,0,0,Outside Villages,Outside Villages,5.1,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330107012021,10701.2021,10701.2021,10701,2021,2,10701.2,0,0,Outside Villages,Outside Villages,2.2,High Point,"High Point, Delridge",2,Delridge Neighborhoods
530330041001017,4100.1017,4100.1017,4100,1017,1,4100.1,0,0,Outside Villages,Outside Villages,7.5,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",7,Northeast
530330056004007,5600.4007,5600.4007,5600,4007,4,5600.4,0,0,Outside Villages,Outside Villages,12.1,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",12,Magnolia/Queen Anne
530330056004016,5600.4016,5600.4016,5600,4016,4,5600.4,0,0,Outside Villages,Outside Villages,12.1,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",12,Magnolia/Queen Anne
530330100013004,10001.3004,10001.3004,10001,3004,3,10001.3,0,111,Columbia City,Residential Urban Village,3.6,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330071001011,7100.1011,7100.1011,7100,1011,1,7100.1,0,412,Uptown,Urban Center,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330007002012,700.2012,700.2012,700,2012,2,700.2,0,0,Outside Villages,Outside Villages,8.2,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North
530330093003182,9300.3182,9300.3182,9300,3182,3,9300.3,0,502,Greater Duwamish,Manufacturing Industrial,3.3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",3,Greater Duwamish
530330098002016,9800.2016,9800.2016,9800,2016,2,9800.2,0,0,Outside Villages,Outside Villages,1.3,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330014003004,1400.3004,1400.3004,1400,3004,3,1400.3,0,0,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",10,Ballard
530330054001012,5400.1012,5400.1012,5400,1012,1,5400.1,0,0,Outside Villages,Outside Villages,11.1,Fremont,"Fremont, Wallingford, Northlake",11,Lake Union
530330041005014,4100.5014,4100.5014,4100,5014,5,4100.5,0,0,Outside Villages,Outside Villages,7.5,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",7,Northeast
530330116006021,11600.6021,11600.6021,11600,6021,6,11600.6,0,0,Outside Villages,Outside Villages,1.2,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
