area_id,area_name,b25074001,b25074001_moe,b25074002,b25074002_moe,b25074003,b25074003_moe,b25074004,b25074004_moe,b25074005,b25074005_moe,b25074006,b25074006_moe,b25074007,b25074007_moe,b25074008,b25074008_moe,b25074009,b25074009_moe,b25074010,b25074010_moe,b25074011,b25074011_moe,b25074012,b25074012_moe,b25074013,b25074013_moe,b25074014,b25074014_moe,b25074015,b25074015_moe,b25074016,b25074016_moe,b25074017,b25074017_moe,b25074018,b25074018_moe,b25074019,b25074019_moe,b25074020,b25074020_moe,b25074021,b25074021_moe,b25074022,b25074022_moe,b25074023,b25074023_moe,b25074024,b25074024_moe,b25074025,b25074025_moe,b25074026,b25074026_moe,b25074027,b25074027_moe,b25074028,b25074028_moe,b25074029,b25074029_moe,b25074030,b25074030_moe,b25074031,b25074031_moe,b25074032,b25074032_moe,b25074033,b25074033_moe,b25074034,b25074034_moe,b25074035,b25074035_moe,b25074036,b25074036_moe,b25074037,b25074037_moe,b25074038,b25074038_moe,b25074039,b25074039_moe,b25074040,b25074040_moe,b25074041,b25074041_moe,b25074042,b25074042_moe,b25074043,b25074043_moe,b25074044,b25074044_moe,b25074045,b25074045_moe,b25074046,b25074046_moe,b25074047,b25074047_moe,b25074048,b25074048_moe,b25074049,b25074049_moe,b25074050,b25074050_moe
41,Hyde Park,7870,371,1473,230,0,38,6,38,58,66,31,45,1046,201,332,119,1033,194,43,55,0,38,0,38,8,39,982,190,0,38,1766,263,0,38,9,39,192,101,309,118,1230,222,26,55,1197,200,88,64,270,100,406,139,142,77,282,103,9,39,1370,231,474,162,439,139,194,93,133,72,113,81,17,45,403,124,213,84,106,72,33,52,22,39,29,56,0,38,628,133,515,126,56,43,13,39,6,38,20,44,18,47
42,Woodlawn,7775,366,1986,253,11,39,19,39,87,61,127,75,1341,208,401,127,1654,232,130,69,59,55,134,76,121,64,1149,197,61,57,1802,276,125,70,63,59,121,66,273,114,1145,232,75,50,893,176,102,70,255,94,137,59,230,108,169,88,0,36,669,165,242,106,171,83,105,66,125,85,9,38,17,45,429,122,321,107,68,59,29,48,4,35,0,36,7,37,342,132,324,130,7,37,0,36,0,36,0,36,11,37
43,South Shore,16515,598,4422,459,66,81,20,46,235,116,143,97,3232,406,726,214,2754,370,46,53,65,83,82,81,164,105,2397,350,0,44,3321,421,114,95,178,100,557,177,708,206,1752,331,12,47,2578,388,281,124,726,223,673,198,484,181,403,151,11,46,2107,346,1181,254,546,192,152,92,131,88,81,89,16,50,857,237,726,217,92,78,0,44,0,44,0,44,39,61,476,172,450,168,19,50,0,44,7,44,0,44,0,44
44,Chatham,8903,460,2016,295,0,37,0,37,105,80,40,49,1495,256,376,158,1937,315,39,71,33,50,21,41,11,38,1833,310,0,37,1945,312,50,59,87,97,247,114,375,148,1138,252,48,63,1305,266,246,113,336,149,427,180,128,80,133,97,35,54,1152,256,740,206,300,143,36,59,55,71,0,37,21,46,387,162,311,143,76,82,0,37,0,37,0,37,0,37,161,93,161,93,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,1259,207,243,113,0,19,0,19,0,19,0,19,116,76,127,79,261,123,0,19,0,19,0,19,0,19,261,123,0,19,250,113,0,19,8,21,23,31,30,25,132,77,57,58,186,106,33,51,19,23,31,50,8,21,86,87,9,21,123,79,12,22,83,69,13,23,0,19,0,19,15,25,110,92,48,60,0,19,62,69,0,19,0,19,0,19,86,78,86,78,0,19,0,19,0,19,0,19,0,19
46,South Chicago,6298,413,1516,232,0,37,27,40,46,56,69,51,1029,201,345,128,1498,275,9,36,47,47,56,52,98,66,1203,251,85,103,1536,249,97,70,125,75,197,97,363,138,703,175,51,52,1030,251,362,161,259,129,146,97,116,81,122,79,25,49,471,163,318,138,55,57,30,54,51,56,0,37,17,44,108,69,84,65,10,38,0,37,0,37,14,40,0,37,139,87,121,85,0,37,0,37,0,37,0,37,18,39
47,Burnside,476,118,123,68,0,11,8,12,0,11,0,11,107,68,8,12,232,83,26,28,31,38,37,33,21,33,117,76,0,11,21,27,0,11,0,11,0,11,0,11,21,27,0,11,48,38,11,17,12,19,0,11,25,36,0,11,0,11,52,62,44,60,0,11,0,11,0,11,0,11,8,14,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,1209,204,243,120,0,27,0,27,5,26,0,27,203,116,35,42,215,106,0,27,0,27,0,27,0,27,184,101,31,43,212,86,0,27,5,26,24,31,3,26,152,78,28,31,192,87,9,29,54,57,75,53,13,31,36,48,5,26,227,102,104,55,29,40,50,51,0,27,39,64,5,26,45,59,45,59,0,27,0,27,0,27,0,27,0,27,75,66,75,66,0,27,0,27,0,27,0,27,0,27
49,Roseland,6628,428,1329,229,11,44,0,41,64,57,8,42,823,202,423,143,1253,218,16,43,0,41,16,41,12,44,1171,217,38,46,1530,270,23,41,23,46,94,67,286,140,1063,237,41,45,916,216,83,81,160,93,263,127,123,84,269,120,18,46,1032,226,362,133,258,133,143,88,82,68,145,93,42,55,300,143,221,129,48,50,0,41,0,41,0,41,31,64,268,124,259,124,9,42,0,41,0,41,0,41,0,41
50,Pullman,1607,162,265,100,0,19,0,19,0,19,0,19,196,92,69,56,278,95,0,19,0,19,0,19,4,17,274,95,0,19,291,98,16,29,9,21,102,58,37,30,127,72,0,19,246,98,45,49,76,57,46,38,61,51,18,29,0,19,287,101,165,83,73,61,29,34,8,20,0,19,12,26,200,95,200,95,0,19,0,19,0,19,0,19,0,19,40,49,40,49,0,19,0,19,0,19,0,19,0,19
