Detailed Occupation by Median Earnings for the Full-time, Year-round Civilian Employed Male Population
------------------------------------------------------------------------------------------------------
Universe: Full-time, Year-round Civilian Employed Male Population 16 Years and Over With Earnings

B24122428  Rolling machine setters, operators, and tenders, metal and plastic
B24122429  Cutting, punching, and press machine setters, operators, and tenders, metal and plastic
B24122430  Drilling and boring machine tool setters, operators, and tenders, metal and plastic
B24122431  Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
B24122432  Lathe and turning machine tool setters, operators, and tenders, metal and plastic
B24122433  Milling and planing machine setters, operators, and tenders, metal and plastic
B24122434  Machinists
B24122435  Metal furnace operators, tenders, pourers, and casters
B24122436  Model makers and patternmakers, metal and plastic
B24122437  Molders and molding machine setters, operators, and tenders, metal and plastic
B24122438  Multiple machine tool setters, operators, and tenders, metal and plastic
B24122439  Tool and die makers
B24122440  Welding, soldering, and brazing workers
B24122441  Heat treating equipment setters, operators, and tenders, metal and plastic
B24122442  Layout workers, metal and plastic
B24122443  Plating and coating machine setters, operators, and tenders, metal and plastic
B24122444  Tool grinders, filers, and sharpeners
B24122445  Metal workers and plastic workers, all other
B24122446  Prepress technicians and workers
B24122447  Printing workers, except prepress technicians and workers
B24122448  Laundry and dry-cleaning workers
B24122449  Pressers, textile, garment, and related materials
B24122450  Sewing machine operators
B24122451  Shoe and leather workers and repairers
B24122452  Shoe machine operators and tenders
B24122453  Tailors, dressmakers, and sewers
B24122454  Textile bleaching and dyeing machine operators and tenders
B24122455  Textile cutting machine setters, operators, and tenders
B24122456  Textile knitting and weaving machine setters, operators, and tenders
B24122457  Textile winding, twisting, and drawing out machine setters, operators, and tenders
B24122458  Fabric and apparel patternmakers
B24122459  Upholsterers
B24122460  Miscellaneous textile, apparel, and furnishings workers, including extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
B24122461  Cabinetmakers and bench carpenters
B24122462  Furniture finishers
B24122463  Sawing machine setters, operators, and tenders, wood
B24122464  Woodworking machine setters, operators, and tenders, except sawing
B24122465  Miscellaneous woodworkers, including model makers and patternmakers
B24122466  Power plant operators, distributors, and dispatchers
B24122467  Stationary engineers and boiler operators
B24122468  Water and wastewater treatment plant and system operators
B24122469  Miscellaneous plant and system operators
B24122470  Chemical processing machine setters, operators, and tenders
B24122471  Crushing, grinding, polishing, mixing, and blending workers
B24122472  Cutting workers
B24122473  Extruding, forming, pressing, and compacting machine setters, operators, and tenders
B24122474  Furnace, kiln, oven, drier, and kettle operators and tenders
B24122475  Inspectors, testers, sorters, samplers, and weighers
B24122476  Jewelers and precious stone and metal workers
B24122477  Medical, dental, and ophthalmic laboratory technicians
B24122478  Packaging and filling machine operators and tenders
B24122479  Painting workers
B24122480  Photographic process workers and processing machine operators
B24122481  Semiconductor processors
B24122482  Adhesive bonding machine operators and tenders
B24122483  Cleaning, washing, and metal pickling equipment operators and tenders
B24122484  Cooling and freezing equipment operators and tenders
B24122485  Etchers and engravers
B24122486  Molders, shapers, and casters, except metal and plastic
B24122487  Paper goods machine setters, operators, and tenders
B24122488  Tire builders
B24122489  Helpers--production workers
B24122490  Production workers, all other
B24122491  Supervisors of transportation and material moving workers
B24122492  Aircraft pilots and flight engineers
B24122493  Air traffic controllers and airfield operations specialists
B24122494  Flight attendants
B24122495  Ambulance drivers and attendants, except emergency medical technicians
B24122496  Bus drivers
B24122497  Driver/sales workers and truck drivers
B24122498  Taxi drivers and chauffeurs
B24122499  Motor vehicle operators, all other
B24122500  Locomotive engineers and operators
B24122501  Railroad brake, signal, and switch operators
B24122502  Railroad conductors and yardmasters
B24122503  Subway, streetcar, and other rail transportation workers
B24122504  Sailors and marine oilers
B24122505  Ship and boat captains and operators
B24122506  Ship engineers
B24122507  Bridge and lock tenders
B24122508  Parking lot attendants
B24122509  Automotive and watercraft service attendants
B24122510  Transportation inspectors
B24122511  Transportation attendants, except flight attendants
B24122512  Other transportation workers
B24122513  Conveyor operators and tenders
B24122514  Crane and tower operators
B24122515  Dredge, excavating, and loading machine operators
B24122516  Hoist and winch operators
B24122517  Industrial truck and tractor operators
B24122518  Cleaners of vehicles and equipment
B24122519  Laborers and freight, stock, and material movers, hand
B24122520  Machine feeders and offbearers
B24122521  Packers and packagers, hand
B24122522  Pumping station operators
B24122523  Refuse and recyclable material collectors
B24122524  Mine shuttle car operators
B24122525  Tank car, truck, and ship loaders
B24122526  Material moving workers, all other
