area_id,area_name,c24010h001,c24010h001_moe,c24010h002,c24010h002_moe,c24010h003,c24010h003_moe,c24010h004,c24010h004_moe,c24010h005,c24010h005_moe,c24010h006,c24010h006_moe,c24010h007,c24010h007_moe,c24010h008,c24010h008_moe,c24010h009,c24010h009_moe,c24010h010,c24010h010_moe,c24010h011,c24010h011_moe,c24010h012,c24010h012_moe,c24010h013,c24010h013_moe
59,McKinley Park,1244,226,628,132,191,80,29,30,121,69,152,71,135,62,616,146,205,85,179,86,205,74,0,25,27,27
60,Bridgeport,5845,460,3104,325,986,183,543,144,495,128,509,156,571,146,2741,294,952,169,510,151,1153,190,58,59,68,48
61,New City,2302,310,1287,235,101,65,278,103,169,85,228,111,511,158,1015,175,276,93,106,67,593,152,0,47,40,60
62,West Elsdon,1487,271,796,178,135,81,164,76,105,58,146,71,246,97,691,148,231,85,234,92,118,63,0,27,108,56
63,Gage Park,612,171,395,141,62,47,98,98,37,61,104,66,94,67,217,84,48,44,34,39,135,69,0,41,0,41
64,Clearing,6151,550,3222,408,582,153,766,196,615,304,441,152,818,178,2929,314,590,158,876,232,1272,226,16,44,175,108
65,West Lawn,2307,370,1154,213,209,97,207,74,128,66,193,78,417,138,1153,277,407,156,197,106,414,160,0,34,135,91
66,Chicago Lawn,745,225,406,147,49,49,18,47,70,71,155,87,114,87,339,121,162,94,68,63,85,72,0,49,24,57
67,West Englewood,161,87,123,82,26,59,0,48,28,56,47,61,22,55,38,52,18,50,0,48,20,50,0,48,0,48
68,Englewood,71,69,43,60,36,60,1,35,0,36,0,36,6,37,28,50,27,51,0,36,0,36,0,36,1,35
69,Greater Grand Crossing,111,76,95,74,38,59,9,39,28,50,11,44,9,39,16,39,11,38,0,38,0,38,0,38,5,38
70,Ashburn,3000,505,1650,359,349,142,336,138,312,135,288,112,365,148,1350,245,572,176,227,98,482,127,0,41,69,71
71,Auburn Gresham,58,60,58,60,39,55,18,54,0,46,1,44,0,46,0,46,0,46,0,46,0,46,0,46,0,46
72,Beverly,6073,386,3172,245,1357,184,644,145,504,115,376,99,291,101,2901,226,1657,195,339,106,866,157,20,32,19,29
73,Washington Heights,62,62,17,30,9,29,0,33,0,33,8,34,0,33,45,62,0,33,0,33,17,41,0,33,28,56
74,Mount Greenwood,8180,478,4558,316,1118,214,1608,239,479,130,802,188,551,159,3622,356,1887,256,577,244,1062,206,0,25,96,70
75,Morgan Park,3344,282,1725,190,626,129,273,92,319,107,282,130,225,90,1619,161,950,142,330,111,315,98,13,36,11,31
76,O'Hare,5345,596,2923,449,591,222,440,145,403,193,414,192,1075,316,2422,361,691,201,854,240,665,231,0,38,212,154
77,Edgewater,18314,879,9474,643,5612,492,1023,226,2056,321,306,138,477,163,8840,629,5292,498,1622,392,1810,319,24,53,92,72
