Detailed Occupation for the Full-time, Year-round Civilian Employed Female Population
-------------------------------------------------------------------------------------
Universe: Full-time, Year-round Civilian Employed Female Population 16 Years and Over

B24126001 Total:
B24126487  Paper goods machine setters, operators, and tenders
B24126488  Tire builders
B24126489  Helpers--production workers
B24126490  Production workers, all other
B24126491  Supervisors of transportation and material moving workers
B24126492  Aircraft pilots and flight engineers
B24126493  Air traffic controllers and airfield operations specialists
B24126494  Flight attendants
B24126495  Ambulance drivers and attendants, except emergency medical technicians
B24126496  Bus drivers
B24126497  Driver/sales workers and truck drivers
B24126498  Taxi drivers and chauffeurs
B24126499  Motor vehicle operators, all other
B24126500  Locomotive engineers and operators
B24126501  Railroad brake, signal, and switch operators
B24126502  Railroad conductors and yardmasters
B24126503  Subway, streetcar, and other rail transportation workers
B24126504  Sailors and marine oilers
B24126505  Ship and boat captains and operators
B24126506  Ship engineers
B24126507  Bridge and lock tenders
B24126508  Parking lot attendants
B24126509  Automotive and watercraft service attendants
B24126510  Transportation inspectors
B24126511  Transportation attendants, except flight attendants
B24126512  Other transportation workers
B24126513  Conveyor operators and tenders
B24126514  Crane and tower operators
B24126515  Dredge, excavating, and loading machine operators
B24126516  Hoist and winch operators
B24126517  Industrial truck and tractor operators
B24126518  Cleaners of vehicles and equipment
B24126519  Laborers and freight, stock, and material movers, hand
B24126520  Machine feeders and offbearers
B24126521  Packers and packagers, hand
B24126522  Pumping station operators
B24126523  Refuse and recyclable material collectors
B24126524  Mine shuttle car operators
B24126525  Tank car, truck, and ship loaders
B24126526  Material moving workers, all other
