area_id,area_name,c27006001,c27006001_moe,c27006002,c27006002_moe,c27006003,c27006003_moe,c27006004,c27006004_moe,c27006005,c27006005_moe,c27006006,c27006006_moe,c27006007,c27006007_moe,c27006008,c27006008_moe,c27006009,c27006009_moe,c27006010,c27006010_moe,c27006011,c27006011_moe,c27006012,c27006012_moe,c27006013,c27006013_moe,c27006014,c27006014_moe,c27006015,c27006015_moe,c27006016,c27006016_moe,c27006017,c27006017_moe,c27006018,c27006018_moe,c27006019,c27006019_moe,c27006020,c27006020_moe,c27006021,c27006021_moe
34,Armour Square,13710,850,6594,505,1219,252,0,27,1219,252,4194,422,35,30,4159,421,1181,216,1156,213,25,47,7116,563,1140,299,0,27,1140,299,4266,421,158,85,4108,416,1710,226,1686,225,24,45
35,Douglas,18357,845,8244,572,1577,269,7,35,1570,269,5793,480,149,77,5644,473,874,153,834,151,40,45,10113,575,1474,248,30,47,1444,245,7111,458,160,69,6951,457,1528,192,1455,191,73,57
36,Oakland,6260,469,2380,315,866,182,10,17,856,182,1262,234,83,55,1179,216,252,88,223,84,29,36,3880,335,989,207,0,19,989,207,2466,239,145,81,2321,246,425,105,416,104,9,21
37,Fuller Park,2924,543,1445,292,485,169,0,16,485,169,717,212,32,26,685,211,243,67,243,67,0,16,1479,349,356,180,0,16,356,180,895,211,34,28,861,204,228,70,205,64,23,21
38,Grand Boulevard,22964,1171,10050,680,3158,447,11,45,3147,448,5727,483,393,129,5334,465,1165,188,1088,172,77,84,12914,767,3073,446,20,52,3053,440,8171,486,343,116,7828,478,1670,194,1625,191,45,55
39,Kenwood,17937,907,8082,589,1982,359,0,31,1982,359,5054,453,163,91,4891,456,1046,181,971,180,75,55,9855,635,1712,281,0,31,1712,281,6597,487,234,92,6363,474,1546,224,1505,224,41,40
40,Washington Park,11141,835,4908,483,1991,301,19,35,1972,301,2397,349,151,84,2246,328,520,138,520,138,0,27,6233,520,1768,295,0,27,1768,295,3983,359,183,77,3800,360,482,121,428,110,54,56
41,Hyde Park,26427,1183,12695,858,1949,334,21,49,1928,330,9356,743,90,64,9266,743,1390,210,1289,209,101,68,13732,692,1597,278,0,38,1597,278,10220,607,145,98,10075,597,1915,219,1745,217,170,82
42,Woodlawn,24291,1269,10858,762,2985,468,19,40,2966,467,6744,571,354,124,6390,543,1129,198,1086,194,43,58,13433,784,3002,413,19,46,2983,413,8802,521,402,134,8400,517,1629,221,1505,213,124,78
43,South Shore,46965,2020,20672,1127,5760,717,5,45,5755,717,12839,834,697,188,12142,825,2073,284,1951,274,122,87,26293,1431,5402,695,28,48,5374,693,17398,985,993,247,16405,969,3493,342,3318,337,175,90
44,Chatham,33244,1627,14040,947,4169,610,11,40,4158,611,8234,688,320,117,7914,673,1637,258,1541,253,96,104,19204,1145,4110,559,28,47,4082,560,11618,781,648,187,10970,746,3476,307,3277,303,199,104
45,Avalon Park,9617,760,4380,490,932,239,11,24,921,240,2794,397,211,110,2583,395,654,130,622,127,32,34,5237,460,984,243,21,37,963,238,3040,290,54,44,2986,286,1213,164,1150,158,63,49
46,South Chicago,29402,1591,13414,946,4225,531,61,67,4164,527,7723,669,635,186,7088,649,1466,220,1332,207,134,83,15988,991,4055,509,20,41,4035,509,9581,661,459,134,9122,646,2352,245,2217,242,135,83
47,Burnside,3508,686,1618,405,619,291,0,11,619,291,859,239,108,67,751,235,140,49,140,49,0,11,1890,384,429,195,0,11,429,195,1151,227,101,94,1050,226,310,71,310,71,0,11
