area_id,area_name,b17010h001,b17010h001_moe,b17010h002,b17010h002_moe,b17010h003,b17010h003_moe,b17010h004,b17010h004_moe,b17010h005,b17010h005_moe,b17010h006,b17010h006_moe,b17010h007,b17010h007_moe,b17010h008,b17010h008_moe,b17010h009,b17010h009_moe,b17010h010,b17010h010_moe,b17010h011,b17010h011_moe,b17010h012,b17010h012_moe,b17010h013,b17010h013_moe,b17010h014,b17010h014_moe,b17010h015,b17010h015_moe,b17010h016,b17010h016_moe,b17010h017,b17010h017_moe,b17010h018,b17010h018_moe,b17010h019,b17010h019_moe,b17010h020,b17010h020_moe,b17010h021,b17010h021_moe,b17010h022,b17010h022_moe,b17010h023,b17010h023_moe,b17010h024,b17010h024_moe,b17010h025,b17010h025_moe,b17010h026,b17010h026_moe,b17010h027,b17010h027_moe,b17010h028,b17010h028_moe,b17010h029,b17010h029_moe,b17010h030,b17010h030_moe,b17010h031,b17010h031_moe,b17010h032,b17010h032_moe,b17010h033,b17010h033_moe,b17010h034,b17010h034_moe,b17010h035,b17010h035_moe,b17010h036,b17010h036_moe,b17010h037,b17010h037_moe,b17010h038,b17010h038_moe,b17010h039,b17010h039_moe,b17010h040,b17010h040_moe,b17010h041,b17010h041_moe
21,Avondale,2431,278,202,103,125,90,0,38,0,38,0,38,0,38,125,90,77,59,31,44,20,41,12,40,8,39,0,38,11,41,46,55,27,49,0,38,0,38,27,49,19,46,2229,267,1518,223,589,149,322,107,19,42,248,102,929,172,711,175,190,95,102,84,60,71,0,38,42,60,88,59,521,150,226,115,70,75,31,56,125,83,295,105
22,Logan Square,5553,378,241,112,83,72,37,68,0,57,35,68,2,57,46,61,158,102,44,73,24,69,24,69,0,57,0,57,20,61,114,90,114,90,27,62,40,70,47,77,0,57,5312,366,4275,319,1893,217,1123,178,323,110,447,125,2382,258,1037,201,397,132,146,97,54,73,13,62,79,82,251,104,640,155,223,85,89,71,4,57,130,71,417,138
23,Humboldt Park,466,126,49,58,24,55,24,55,0,51,9,51,15,56,0,51,25,53,8,52,0,51,0,51,0,51,0,51,8,52,17,52,17,52,0,51,0,51,17,52,0,51,417,122,304,103,138,80,68,66,11,50,59,64,166,80,113,76,41,53,24,51,0,51,12,52,12,50,17,51,72,73,28,62,22,59,0,51,6,50,44,64
24,West Town,8618,474,385,136,195,103,155,101,50,74,40,76,65,79,40,64,190,107,20,69,20,69,20,69,0,62,0,62,0,62,170,102,101,76,49,72,0,62,52,67,69,89,8233,459,7050,427,2658,268,1751,231,291,111,616,149,4392,367,1183,201,472,134,66,67,33,66,0,62,33,64,406,128,711,160,223,103,47,67,27,75,149,90,488,131
25,Austin,1070,145,116,107,36,79,0,61,0,61,0,61,0,61,36,79,80,93,0,61,0,61,0,61,0,61,0,61,0,61,80,93,68,92,0,61,0,61,68,92,12,61,954,141,783,123,335,106,73,81,98,84,164,89,448,134,171,95,40,68,30,67,30,67,0,61,0,61,10,62,131,89,54,72,7,60,0,61,47,71,77,81
26,West Garfield Park,48,46,10,34,7,35,7,35,0,35,0,35,7,35,0,35,3,34,0,35,0,35,0,35,0,35,0,35,0,35,3,34,0,35,0,35,0,35,0,35,3,34,38,46,17,36,8,35,8,35,0,35,0,35,9,36,21,45,0,35,0,35,0,35,0,35,0,35,0,35,21,45,0,35,0,35,0,35,0,35,21,45
27,East Garfield Park,97,68,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,97,68,80,63,31,43,13,38,18,43,0,38,49,58,17,46,17,46,17,46,0,38,0,38,17,46,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,4237,349,135,83,118,83,94,81,78,78,0,52,16,57,24,54,17,51,0,52,0,52,0,52,0,52,0,52,0,52,17,51,7,52,7,52,0,52,0,52,10,51,4102,346,3520,319,1048,180,693,156,80,60,275,98,2472,285,582,170,146,86,38,55,8,52,0,52,30,54,108,84,436,155,247,121,58,79,61,74,128,90,189,104
29,North Lawndale,115,65,47,59,11,45,11,45,0,43,0,43,11,45,0,43,36,57,21,53,21,53,0,43,0,43,21,53,0,43,15,47,15,47,0,43,0,43,15,47,0,43,68,48,54,45,15,41,10,42,0,43,5,42,39,47,14,43,5,42,0,43,0,43,0,43,0,43,5,42,9,44,0,43,0,43,0,43,0,43,9,44
30,South Lawndale,338,118,135,86,49,63,0,48,0,48,0,48,0,48,49,63,86,76,0,48,0,48,0,48,0,48,0,48,0,48,86,76,68,71,17,55,20,56,31,59,18,55,203,93,131,76,32,52,22,51,10,49,0,48,99,73,72,70,0,48,0,48,0,48,0,48,0,48,0,48,72,70,0,48,0,48,0,48,0,48,72,70
