,,,,,,
New York City 2010 Census Tract to Neighborhood Tabulation Area (NTA) Equivalency,,,,,,
,,,,,,
Borough,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA,Neighborhood Tabulation Area (NTA),
Bronx,005,2,006700,3710,BX34,Melrose South-Mott Haven North
Bronx,005,2,006900,3710,BX34,Melrose South-Mott Haven North
Bronx,005,2,007100,3710,BX34,Melrose South-Mott Haven North
Bronx,005,2,007300,3710,BX34,Melrose South-Mott Haven North
Bronx,005,2,007500,3710,BX34,Melrose South-Mott Haven North
Bronx,005,2,007700,3710,BX34,Melrose South-Mott Haven North
Bronx,005,2,007900,3710,BX34,Melrose South-Mott Haven North
Bronx,005,2,012101,3705,BX35,Morrisania-Melrose
Bronx,005,2,012500,3705,BX35,Morrisania-Melrose
Bronx,005,2,013300,3705,BX35,Morrisania-Melrose
Bronx,005,2,013500,3705,BX35,Morrisania-Melrose
Bronx,005,2,014100,3705,BX35,Morrisania-Melrose
Bronx,005,2,014900,3705,BX35,Morrisania-Melrose
Bronx,005,2,015100,3705,BX35,Morrisania-Melrose
Bronx,005,2,018500,3705,BX35,Morrisania-Melrose
Bronx,005,2,001900,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,002300,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,002500,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,002701,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,002702,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,003100,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,003300,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,003500,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,003700,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,003900,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,004100,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,004300,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,005100,3710,BX39,Mott Haven-Port Morris
Bronx,005,2,022701,3707,BX41,Mount Hope
Bronx,005,2,022702,3707,BX41,Mount Hope
Bronx,005,2,022703,3707,BX41,Mount Hope
Bronx,005,2,022901,3707,BX41,Mount Hope
Bronx,005,2,022902,3707,BX41,Mount Hope
Bronx,005,2,023100,3707,BX41,Mount Hope
Bronx,005,2,023301,3707,BX41,Mount Hope
Bronx,005,2,023302,3707,BX41,Mount Hope
Bronx,005,2,023501,3707,BX41,Mount Hope
Bronx,005,2,023502,3707,BX41,Mount Hope
Bronx,005,2,024100,3707,BX41,Mount Hope
Bronx,005,2,037900,3707,BX41,Mount Hope
Bronx,005,2,038100,3707,BX41,Mount Hope
Bronx,005,2,030701,3701,BX22,North Riverdale-Fieldston-Riverdale
Bronx,005,2,030900,3701,BX22,North Riverdale-Fieldston-Riverdale
Bronx,005,2,031900,3701,BX22,North Riverdale-Fieldston-Riverdale
Bronx,005,2,032300,3701,BX22,North Riverdale-Fieldston-Riverdale
Bronx,005,2,033500,3701,BX22,North Riverdale-Fieldston-Riverdale
Bronx,005,2,033700,3701,BX22,North Riverdale-Fieldston-Riverdale
Bronx,005,2,034300,3701,BX22,North Riverdale-Fieldston-Riverdale
Bronx,005,2,034500,3701,BX22,North Riverdale-Fieldston-Riverdale
Bronx,005,2,035100,3701,BX22,North Riverdale-Fieldston-Riverdale
Bronx,005,2,041900,3706,BX43,Norwood
Bronx,005,2,042100,3706,BX43,Norwood
Bronx,005,2,042300,3706,BX43,Norwood
Bronx,005,2,042500,3706,BX43,Norwood
Bronx,005,2,042901,3706,BX43,Norwood
